pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0811,P160-A,P160-B,POL_160,POL_160,Politics,easy,paraphrase,Assemblyman Torres Leads Passage of Small Business Tax Credit,"Assemblyman Hugo Torres helped pass a small business tax credit bill Tuesday, offering relief to companies with fewer than 50 employees.",Torres-Backed Small Business Tax Credit Clears Legislature,"A small business tax credit bill championed by Assemblyman Hugo Torres passed the legislature this week, aimed at companies with fewer than 50 employees.",2026-03-01,2026-03-01,State capital,State capital,Hugo Torres; small business tax credit,Hugo Torres; tax credit bill,SAME_EVENT,Both articles describe the same small business tax credit bill passed by Torres on the same date.
P0812,P160-C,P160-A,POL_160,POL_160,Politics,medium,different_source,What the New Small Business Tax Credit Covers,"The tax credit bill that passed this week covers up to $10,000 annually per qualifying business, according to a summary released by Torres's office.",Assemblyman Torres Leads Passage of Small Business Tax Credit,"Assemblyman Hugo Torres helped pass a small business tax credit bill Tuesday, offering relief to companies with fewer than 50 employees.",2026-03-02,2026-03-01,State capital,State capital,small business tax credit; coverage details,Hugo Torres; small business tax credit,SAME_EVENT,A details-focused follow-up on the same tax credit bill passed a day earlier.
P0813,P160-A,P161-A,POL_160,POL_161,Politics,easy,same_entity_different_event,Assemblyman Torres Leads Passage of Small Business Tax Credit,"Assemblyman Hugo Torres helped pass a small business tax credit bill Tuesday, offering relief to companies with fewer than 50 employees.",Torres Opposes Unrelated Sales Tax Increase Bill,"Assemblyman Hugo Torres voted against a sales tax increase bill Friday, a measure unrelated to the small business tax credit he championed earlier this year.",2026-03-01,2026-05-01,State capital,State capital,Torres; tax credit,Torres; sales tax vote,DIFFERENT_EVENT,"Same lawmaker, but passing a tax credit bill and opposing an unrelated sales tax bill months later are separate events."
P0814,P160-A,P162-A,POL_160,POL_162,Politics,medium,same_topic_different_event,Assemblyman Torres Leads Passage of Small Business Tax Credit,"Assemblyman Hugo Torres helped pass a small business tax credit bill Tuesday, offering relief to companies with fewer than 50 employees.",Different Lawmaker Introduces Separate Business Grant Bill,"A different assembly member introduced a separate small business grant bill Tuesday, unrelated to the tax credit measure that passed earlier in the month.",2026-03-01,2026-03-10,State capital,State capital,small business tax credit; Torres,business grant bill; different lawmaker,DIFFERENT_EVENT,"Both concern small business support legislation in the same month, but they are separate bills led by different lawmakers."
P0815,P163-A,P164-A,POL_163,POL_164,Politics,medium,follow_up,Ballot Measure on Term Limits Qualifies for Vote,"A ballot measure imposing term limits on statewide officials qualified for the November ballot Tuesday, after organizers submitted enough verified signatures.",Term Limits Measure Passes in November Vote,"Voters approved the term limits ballot measure Wednesday, capping statewide officials at two consecutive terms, months after the measure qualified for the ballot.",2026-04-01,2026-11-04,Undisclosed,Undisclosed,term limits ballot measure; qualification,term limits measure; passage,SAME_EVENT,The passage is a direct continuation of the same ballot measure described in the first article.
P0816,P163-A,P165-A,POL_163,POL_165,Politics,hard,different_incident,Ballot Measure on Term Limits Qualifies for Vote,"A ballot measure imposing term limits on statewide officials qualified for the November ballot Tuesday, after organizers submitted enough verified signatures.",Different State's Term Limits Measure Fails to Qualify,"A similar term limits measure in a different state failed to qualify for the ballot Sunday, after organizers fell short of the required signatures.",2026-04-01,2026-04-05,Undisclosed,Different state,term limits ballot measure; qualification,different state; term limits measure,DIFFERENT_EVENT,"Both are term-limits ballot measure stories from the same general period with similar framing, but they concern two entirely different states and separate signature campaigns."
P0817,P160-B,P166-A,POL_160,POL_166,Politics,hard,same_entities_different_date,Torres-Backed Small Business Tax Credit Clears Legislature,"A small business tax credit bill championed by Assemblyman Hugo Torres passed the legislature this week, aimed at companies with fewer than 50 employees.",Torres Leads Passage of Second Tax Credit a Year Later,"Assemblyman Hugo Torres helped pass a second small business tax credit Monday, a year after his original bill, this time targeting rural businesses specifically.",2026-03-01,2027-03-01,State capital,State capital,Torres; small business tax credit,Torres; second tax credit,DIFFERENT_EVENT,"Same lawmaker and similar policy area, but the two tax credit bills passed a year apart are separate legislative events."
P0818,P167-A,P169-A,POL_167,POL_169,Politics,medium,follow_up,Agency Announces New Workplace Safety Rule,A federal agency announced Monday a new workplace safety rule requiring enhanced ventilation standards in manufacturing facilities.,Workplace Safety Rule Enforcement Begins,"Enforcement of the new workplace safety rule began Wednesday, a month after its announcement, with inspectors beginning facility reviews nationwide.",2026-06-01,2026-07-01,National,National,agency; workplace safety rule,workplace safety rule; enforcement,SAME_EVENT,The enforcement start is a direct continuation of the same workplace safety rule announcement described in the first article.
P0819,P167-B,P167-A,POL_167,POL_167,Politics,hard,entity_normalization,Federal Body Mandates New Manufacturing Ventilation Standards,"A federal regulatory body issued new requirements this week compelling manufacturing facilities to upgrade ventilation systems, part of a broader push for workplace safety.",Agency Announces New Workplace Safety Rule,A federal agency announced Monday a new workplace safety rule requiring enhanced ventilation standards in manufacturing facilities.,2026-06-01,2026-06-01,National,National,federal body; ventilation standards,agency; workplace safety rule,SAME_EVENT,The second article refers to the agency only as 'a federal regulatory body' but describes the identical new safety rule.
P0820,P164-A,P165-A,POL_164,POL_165,Politics,very_hard,same_topic_different_event,Term Limits Measure Passes in November Vote,"Voters approved the term limits ballot measure Wednesday, capping statewide officials at two consecutive terms, months after the measure qualified for the ballot.",Different State's Term Limits Measure Fails to Qualify,"A similar term limits measure in a different state failed to qualify for the ballot Sunday, after organizers fell short of the required signatures.",2026-11-04,2026-04-05,Undisclosed,Different state,term limits measure; passage,different state; term limits measure,DIFFERENT_EVENT,"Both are term-limits-related stories, but the passage concerns the original ballot measure while the second article is an unrelated measure that failed to qualify in a different state earlier in the year."
P0821,B160-A,B160-B,BIZ_160,BIZ_160,Business,easy,paraphrase,Apparel Chain Fernwood Announces Store Redesign,"Apparel chain Fernwood announced Monday it is redesigning all of its stores over the next two years, part of a strategy to modernize the in-store shopping experience.",Fernwood to Redesign All Stores by 2028,"Fernwood unveiled plans this week to redesign its entire store fleet by 2028, aiming to create a more modern shopping environment.",2026-02-01,2026-02-01,Undisclosed,Undisclosed,Fernwood; store redesign,Fernwood; redesign plan,SAME_EVENT,Both articles describe the same Fernwood store redesign plan announced on the same date.
P0822,B160-C,B160-A,BIZ_160,BIZ_160,Business,medium,different_source,What Fernwood's New Store Design Will Look Like,"Fernwood's newly announced redesign will emphasize open floor plans and digital fitting rooms, according to renderings released this week detailing the retailer's design concept.",Apparel Chain Fernwood Announces Store Redesign,"Apparel chain Fernwood announced Monday it is redesigning all of its stores over the next two years, part of a strategy to modernize the in-store shopping experience.",2026-02-02,2026-02-01,Undisclosed,Undisclosed,Fernwood; design concept,Fernwood; store redesign,SAME_EVENT,A design-focused follow-up about the same redesign plan announced a day earlier.
P0823,B160-A,B161-A,BIZ_160,BIZ_161,Business,easy,same_entity_different_event,Apparel Chain Fernwood Announces Store Redesign,"Apparel chain Fernwood announced Monday it is redesigning all of its stores over the next two years, part of a strategy to modernize the in-store shopping experience.",Fernwood Closes Underperforming Locations,"Fernwood announced Monday it is closing 25 underperforming locations, a decision unrelated to its recent store redesign plans.",2026-02-01,2026-06-01,Undisclosed,Undisclosed,Fernwood; redesign plan,Fernwood; store closures,DIFFERENT_EVENT,"Same retailer, but announcing a redesign and closing unrelated underperforming stores months later are separate events."
P0824,B160-A,B162-A,BIZ_160,BIZ_162,Business,medium,same_topic_different_event,Apparel Chain Fernwood Announces Store Redesign,"Apparel chain Fernwood announced Monday it is redesigning all of its stores over the next two years, part of a strategy to modernize the in-store shopping experience.",Rival Chain Cliffside Announces Its Own Redesign,"Competing apparel chain Cliffside announced its own store redesign Wednesday, entering a modernization push shortly after a rival's similar announcement.",2026-02-01,2026-02-10,Undisclosed,Undisclosed,Fernwood; store redesign,Cliffside; store redesign,DIFFERENT_EVENT,"Both are apparel chain redesign announcements within days of each other, but from two separate, competing companies."
P0825,B163-A,B164-A,BIZ_163,BIZ_164,Business,medium,follow_up,Freight Rates Surge Amid Shipping Capacity Crunch,"Global freight rates surged Monday amid a shipping capacity crunch, with container rates on major trade routes rising more than 25 percent in a single week.",Retailers Warn of Cost Pressure From Freight Rate Surge,"Retailers warned Tuesday that the recent freight rate surge could squeeze profit margins heading into the holiday season, a day after rates spiked sharply.",2026-03-01,2026-03-02,Global,Global,freight rates; shipping capacity crunch,retailers; freight rate warning,SAME_EVENT,The retailer warning is directly tied to the same freight rate surge described in the first article.
P0826,B163-A,B165-A,BIZ_163,BIZ_165,Business,hard,different_incident,Freight Rates Surge Amid Shipping Capacity Crunch,"Global freight rates surged Monday amid a shipping capacity crunch, with container rates on major trade routes rising more than 25 percent in a single week.",Separate Shipping Route Sees Rate Drop for Unrelated Reasons,"A different shipping route saw rates drop sharply Sunday due to unrelated demand concerns, separate from the capacity-driven surge reported elsewhere earlier in the month.",2026-03-01,2026-03-15,Global,Global,freight rates; shipping capacity crunch,different shipping route; rate drop,DIFFERENT_EVENT,"Both are freight rate movement stories in the same month, but they involve two entirely different shipping routes driven by unrelated factors."
P0827,B160-B,B166-A,BIZ_160,BIZ_166,Business,hard,same_entities_different_date,Fernwood to Redesign All Stores by 2028,"Fernwood unveiled plans this week to redesign its entire store fleet by 2028, aiming to create a more modern shopping environment.",Fernwood Announces Second Redesign Wave a Year Later,"Fernwood announced another round of store redesigns Sunday, a year after its original plan, this time targeting its international locations.",2026-02-01,2027-02-01,Undisclosed,International,Fernwood; original redesign plan,Fernwood; second redesign wave,DIFFERENT_EVENT,"Same retailer and similar strategy, but the two redesign announcements occurred a year apart and are separate business events."
P0828,B167-A,B169-A,BIZ_167,BIZ_169,Business,medium,follow_up,Payments Company Ledgerly Announces Instant Settlement Feature,"Payments company Ledgerly announced Friday a new instant settlement feature, allowing merchants to access funds within seconds instead of the standard multi-day delay.",Ledgerly Rolls Out Instant Settlement to All Merchants,"Ledgerly completed its rollout of instant settlement to all merchants Saturday, three months after the feature's initial announcement.",2026-04-01,2026-07-01,Undisclosed,Undisclosed,Ledgerly; instant settlement announcement,Ledgerly; full rollout,SAME_EVENT,The full rollout is a direct continuation of the same instant settlement feature described in the first article.
P0829,B167-B,B167-A,BIZ_167,BIZ_167,Business,hard,different_detail_level,How Ledgerly's Instant Settlement Feature Actually Works,"The instant settlement feature Ledgerly announced this week relies on a pre-funded liquidity pool that advances merchant payments before underlying transactions fully clear, company engineers explained, a mechanism that shifts settlement risk onto Ledgerly rather than merchants. Industry analysts said the approach mirrors similar features rolled out by larger payment processors, though Ledgerly's smaller scale could make the liquidity commitment more challenging to sustain during high-volume periods. The company said it has secured additional credit facilities to support the feature ahead of its full rollout.",Payments Company Ledgerly Announces Instant Settlement Feature,"Payments company Ledgerly announced Friday a new instant settlement feature, allowing merchants to access funds within seconds instead of the standard multi-day delay.",2026-04-02,2026-04-01,Undisclosed,Undisclosed,Ledgerly; mechanism details,Ledgerly; instant settlement announcement,SAME_EVENT,The second article provides much richer technical detail about the same feature announcement reported briefly in the first.
P0830,B164-A,B165-A,BIZ_164,BIZ_165,Business,very_hard,same_topic_different_event,Retailers Warn of Cost Pressure From Freight Rate Surge,"Retailers warned Tuesday that the recent freight rate surge could squeeze profit margins heading into the holiday season, a day after rates spiked sharply.",Separate Shipping Route Sees Rate Drop for Unrelated Reasons,"A different shipping route saw rates drop sharply Sunday due to unrelated demand concerns, separate from the capacity-driven surge reported elsewhere earlier in the month.",2026-03-02,2026-03-15,Global,Global,retailers; freight rate warning,different shipping route; rate drop,DIFFERENT_EVENT,"Both are freight-market-related stories from the same general period, but the retailer warning concerns the original capacity-driven surge while the second article is an unrelated rate drop on a different route."
P0831,SP160-A,SP160-B,SPORT_160,SPORT_160,Sports,easy,paraphrase,Judoka Renna Ito Wins World Championship,"Judoka Renna Ito won the world championship Sunday in the 63kg division, defeating the defending champion by ippon in the final.",Ito Claims World Judo Title,"Renna Ito captured the world judo title Sunday in the 63kg division, securing a decisive ippon victory over the reigning champion.",2026-06-01,2026-06-01,Undisclosed,Undisclosed,Renna Ito; world championship,Renna Ito; world judo title,SAME_EVENT,Both describe the same 63kg world title win by Ito via ippon on the same date.
P0832,SP160-C,SP160-A,SPORT_160,SPORT_160,Sports,medium,different_source,Ito's Rise to World Champion,"Renna Ito's win Sunday caps a three-year rise through the rankings, a journey marked by steady improvement after a disappointing early career.",Judoka Renna Ito Wins World Championship,"Judoka Renna Ito won the world championship Sunday in the 63kg division, defeating the defending champion by ippon in the final.",2026-06-02,2026-06-01,Undisclosed,Undisclosed,Renna Ito; career rise,Renna Ito; world championship,SAME_EVENT,A career-recap piece about the same title win reported a day earlier.
P0833,SP160-A,SP161-A,SPORT_160,SPORT_161,Sports,easy,same_entity_different_event,Judoka Renna Ito Wins World Championship,"Judoka Renna Ito won the world championship Sunday in the 63kg division, defeating the defending champion by ippon in the final.",Ito Withdraws From Upcoming Grand Slam Event,"Renna Ito withdrew from an upcoming Grand Slam event Monday, citing minor injury management, a decision unrelated to her world title win earlier in the season.",2026-06-01,2026-08-01,Undisclosed,Undisclosed,Ito; world championship,Ito; Grand Slam withdrawal,DIFFERENT_EVENT,"Same judoka, but winning a title and withdrawing from a separate event two months later are unrelated events."
P0834,SP160-A,SP162-A,SPORT_160,SPORT_162,Sports,medium,same_topic_different_event,Judoka Renna Ito Wins World Championship,"Judoka Renna Ito won the world championship Sunday in the 63kg division, defeating the defending champion by ippon in the final.",Different Judoka Wins Separate Weight Division Title,"A different judoka won a separate weight division title Thursday, unrelated to the championship won by a competitor earlier in the week.",2026-06-01,2026-06-05,Undisclosed,Undisclosed,Ito; world championship,different judoka; separate division,DIFFERENT_EVENT,"Both are judo world title wins within the same week, but by two different athletes in separate weight divisions."
P0835,SP163-A,SP164-A,SPORT_163,SPORT_164,Sports,medium,follow_up,Hockey Club Northgate Signs Star Defenseman,"Hockey club Northgate announced Thursday it has signed a star defenseman on a six-year deal, a move fans have anticipated for months.",New Northgate Defenseman Scores on Debut,"Northgate's newly signed defenseman scored in his debut match Sunday, a 3-1 win that delighted supporters just days after his signing was announced.",2026-01-01,2026-01-05,Undisclosed,Undisclosed,Northgate; defenseman signing,Northgate; defenseman debut goal,SAME_EVENT,The debut goal is a direct continuation of the same defenseman signing described in the first article.
P0836,SP163-A,SP165-A,SPORT_163,SPORT_165,Sports,hard,different_incident,Hockey Club Northgate Signs Star Defenseman,"Hockey club Northgate announced Thursday it has signed a star defenseman on a six-year deal, a move fans have anticipated for months.",Different Club Also Signs Star Defenseman,"A separate hockey club signed its own star defenseman Saturday, an unrelated transfer made the same week as another club's high-profile signing.",2026-01-01,2026-01-03,Undisclosed,Undisclosed,Northgate; defenseman signing,different club; defenseman signing,DIFFERENT_EVENT,"Both are star defenseman signing stories from the same week with similar framing, but they involve two entirely different hockey clubs."
P0837,SP160-B,SP166-A,SPORT_160,SPORT_166,Sports,hard,same_entities_different_date,Ito Claims World Judo Title,"Renna Ito captured the world judo title Sunday in the 63kg division, securing a decisive ippon victory over the reigning champion.",Ito Wins World Championship Again the Following Year,"Renna Ito defended her world title Sunday, winning for a second consecutive year with another ippon victory in the final.",2026-06-01,2027-06-01,Undisclosed,Undisclosed,Ito; world judo title,Ito; title defense,DIFFERENT_EVENT,"Same judoka and same title, but the two championship wins are separate annual editions held a year apart."
P0838,SP167-A,SP168-A,SPORT_167,SPORT_168,Sports,medium,follow_up,Archer Wins Gold at International Championship,"An archer won gold at the international championship Sunday, edging out the defending champion by a single point in a dramatic final round.",Archer Reflects on Nail-Biting Final Round,The archer who won Sunday's gold medal spoke to reporters Tuesday about the tense final arrows that decided the tightly contested competition.,2026-07-01,2026-07-03,Undisclosed,Undisclosed,archer; championship gold,archer; post-win interview,SAME_EVENT,The interview is directly about the same championship win described in the first article.
P0839,SP167-B,SP167-A,SPORT_167,SPORT_167,Sports,hard,different_detail_level,Breaking Down the Final Round That Decided the Championship,"Sunday's championship came down to the final arrow, where the eventual gold medalist needed a near-perfect shot to overtake the overnight leader, coaches and analysts said. The margin of victory, a single point, was among the closest in the event's history, with commentators noting a wind gust that complicated the final round for both competitors. The winning archer credited a last-minute equipment adjustment for the improved accuracy under pressure.",Archer Wins Gold at International Championship,"An archer won gold at the international championship Sunday, edging out the defending champion by a single point in a dramatic final round.",2026-07-02,2026-07-01,Undisclosed,Undisclosed,archer; final round detail,archer; championship gold,SAME_EVENT,The second article gives a detailed account of the same championship finish reported briefly in the first.
P0840,SP164-A,SP165-A,SPORT_164,SPORT_165,Sports,very_hard,same_topic_different_event,New Northgate Defenseman Scores on Debut,"Northgate's newly signed defenseman scored in his debut match Sunday, a 3-1 win that delighted supporters just days after his signing was announced.",Different Club Also Signs Star Defenseman,"A separate hockey club signed its own star defenseman Saturday, an unrelated transfer made the same week as another club's high-profile signing.",2026-01-05,2026-01-03,Undisclosed,Undisclosed,Northgate; defenseman debut goal,different club; defenseman signing,DIFFERENT_EVENT,"Both are hockey signing-related stories from the same general stretch, but the debut goal concerns Northgate's defenseman while the second article is an unrelated signing at a different club."
P0841,SC160-A,SC160-B,SCI_160,SCI_160,Science,easy,paraphrase,Researchers Identify New Mineral Formed in Volcanic Rock,"Geologists identified a new mineral Sunday formed within volcanic rock samples, a discovery that could offer insight into ancient eruption conditions.",New Mineral Discovered in Volcanic Rock Samples,"Scientists reported this week the discovery of a previously unknown mineral within volcanic rock, formed under conditions that could reveal details about ancient eruptions.",2026-02-01,2026-02-01,Undisclosed,Undisclosed,volcanic mineral; new discovery,volcanic rock; new mineral,SAME_EVENT,Both describe the same new mineral discovery in volcanic rock announced the same week.
P0842,SC160-C,SC160-A,SCI_160,SCI_160,Science,medium,different_source,How Scientists Found a New Mineral in Ancient Lava,"The mineral discovered this week was found during analysis of rock samples collected from an extinct volcano, researchers explained, a project that could reveal more undiscovered minerals in similar volcanic formations.",Researchers Identify New Mineral Formed in Volcanic Rock,"Geologists identified a new mineral Sunday formed within volcanic rock samples, a discovery that could offer insight into ancient eruption conditions.",2026-02-03,2026-02-01,Undisclosed,Undisclosed,volcanic mineral; sample analysis,volcanic mineral; new discovery,SAME_EVENT,A discovery-methodology follow-up about the same mineral announced earlier in the week.
P0843,SC160-A,SC161-A,SCI_160,SCI_161,Science,easy,same_entity_different_event,Researchers Identify New Mineral Formed in Volcanic Rock,"Geologists identified a new mineral Sunday formed within volcanic rock samples, a discovery that could offer insight into ancient eruption conditions.",Same Team Identifies Different Mineral,"The same research group announced Wednesday it has identified a different new mineral in an unrelated rock formation, separate from its earlier volcanic mineral discovery.",2026-02-01,2026-07-01,Undisclosed,Undisclosed,volcanic mineral; research team,different mineral; same team,DIFFERENT_EVENT,"Same research team, but identifying two different minerals in unrelated rock formations months apart are separate discovery events."
P0844,SC160-A,SC162-A,SCI_160,SCI_162,Science,medium,same_topic_different_event,Researchers Identify New Mineral Formed in Volcanic Rock,"Geologists identified a new mineral Sunday formed within volcanic rock samples, a discovery that could offer insight into ancient eruption conditions.",Different Team Identifies Separate New Mineral,"A different research team announced its own mineral discovery Sunday, unrelated to the mineral found earlier in the month by a different group.",2026-02-01,2026-02-15,Undisclosed,Undisclosed,volcanic mineral; team,different mineral; different team,DIFFERENT_EVENT,"Both are mineral discoveries published close together, but they involve different minerals and completely unrelated research teams."
P0845,SC163-A,SC164-A,SCI_163,SCI_164,Science,medium,follow_up,Researchers Detect Unusual Atmospheric Signature on Exoplanet,"Astronomers detected an unusual atmospheric signature Sunday on a distant exoplanet, prompting speculation about its potential composition.",Follow-Up Analysis Identifies Cause of Exoplanet Signature,"A follow-up study published Saturday identified the likely cause of the unusual atmospheric signature detected earlier this year, pointing to a rare combination of gases.",2026-03-01,2026-08-01,Undisclosed,Undisclosed,exoplanet; atmospheric signature,exoplanet; signature cause identified,SAME_EVENT,The cause identification is a direct continuation of the same atmospheric signature described in the first article.
P0846,SC163-A,SC165-A,SCI_163,SCI_165,Science,hard,different_incident,Researchers Detect Unusual Atmospheric Signature on Exoplanet,"Astronomers detected an unusual atmospheric signature Sunday on a distant exoplanet, prompting speculation about its potential composition.",Different Unusual Atmospheric Signature Observed on Separate Exoplanet,"A separate research team observed a different unusual atmospheric signature Friday on a different exoplanet, unrelated to the signature reported earlier this year.",2026-03-01,2026-03-20,Undisclosed,Undisclosed,exoplanet; atmospheric signature,different exoplanet; separate signature,DIFFERENT_EVENT,"Both are exoplanet atmospheric signature stories from the same general period with similar framing, but they involve two entirely separate planets observed by different teams."
P0847,SC160-B,SC166-A,SCI_160,SCI_166,Science,hard,same_entities_different_date,New Mineral Discovered in Volcanic Rock Samples,"Scientists reported this week the discovery of a previously unknown mineral within volcanic rock, formed under conditions that could reveal details about ancient eruptions.",Mineral Research Team Identifies Related Mineral a Year Later,"The team behind the original volcanic mineral discovery found a closely related mineral a year later in a nearby rock formation, broadening understanding of the mineral family.",2026-02-01,2027-02-01,Undisclosed,Undisclosed,volcanic rock; new mineral,mineral research team; related mineral,DIFFERENT_EVENT,"Same research team and related field of work, but the original discovery and the related mineral found a year later are distinct reported milestones."
P0848,SC167-A,SC169-A,SCI_167,SCI_169,Science,medium,follow_up,New Compound Discovered That Neutralizes Agricultural Pesticide Runoff,Researchers announced Sunday the discovery of a new compound capable of neutralizing harmful pesticide runoff before it reaches waterways.,Pesticide-Neutralizing Compound Licensed to Agricultural Company,"The newly discovered pesticide-neutralizing compound has been licensed to an agricultural company, researchers announced Saturday, five months after its initial discovery.",2026-04-01,2026-09-01,Undisclosed,Undisclosed,pesticide-neutralizing compound; discovery,pesticide-neutralizing compound; licensing,SAME_EVENT,The licensing announcement is a direct continuation of the same compound discovery described in the first article.
