pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0311,P040-A,P040-B,POL_040,POL_040,Politics,easy,paraphrase,Senator Kessler Leads Passage of Infrastructure Bill,"Senator Dana Kessler helped shepherd a major infrastructure spending bill through Congress Tuesday, securing funding for roads, bridges, and broadband expansion nationwide.",Kessler-Backed Infrastructure Bill Clears Congress,"A sweeping infrastructure spending bill championed by Senator Dana Kessler passed Congress this week, directing billions toward transportation and broadband projects.",2026-03-01,2026-03-01,National,National,Dana Kessler; infrastructure bill,Dana Kessler; infrastructure spending,SAME_EVENT,Both articles describe the same infrastructure bill passage led by Senator Kessler on the same date.
P0312,P040-C,P040-A,POL_040,POL_040,Politics,medium,different_source,What's in the New Infrastructure Spending Package,"The infrastructure bill that cleared Congress this week allocates the largest share of funding to bridge repairs and rural broadband, according to a breakdown released by Kessler's office.",Senator Kessler Leads Passage of Infrastructure Bill,"Senator Dana Kessler helped shepherd a major infrastructure spending bill through Congress Tuesday, securing funding for roads, bridges, and broadband expansion nationwide.",2026-03-02,2026-03-01,National,National,infrastructure bill; funding breakdown,Dana Kessler; infrastructure bill,SAME_EVENT,A funding-breakdown follow-up about the same infrastructure bill passed a day earlier.
P0313,P040-A,P041-A,POL_040,POL_041,Politics,easy,same_entity_different_event,Senator Kessler Leads Passage of Infrastructure Bill,"Senator Dana Kessler helped shepherd a major infrastructure spending bill through Congress Tuesday, securing funding for roads, bridges, and broadband expansion nationwide.",Kessler Blocks Unrelated Judicial Nominee,"Senator Dana Kessler blocked a judicial nominee's confirmation vote Friday, citing concerns unrelated to her earlier work on the infrastructure spending bill.",2026-03-01,2026-05-01,National,National,Kessler; infrastructure bill,Kessler; judicial nominee block,DIFFERENT_EVENT,"Same senator, but passing an infrastructure bill and blocking an unrelated judicial nominee months later are separate events."
P0314,P040-A,P042-A,POL_040,POL_042,Politics,medium,same_topic_different_event,Senator Kessler Leads Passage of Infrastructure Bill,"Senator Dana Kessler helped shepherd a major infrastructure spending bill through Congress Tuesday, securing funding for roads, bridges, and broadband expansion nationwide.",Different Senator Leads Separate Transportation Funding Bill,"A different senator introduced a separate transportation funding bill Tuesday, unrelated to the infrastructure package that passed earlier in the month.",2026-03-01,2026-03-10,National,National,infrastructure bill; Kessler,transportation funding bill; different senator,DIFFERENT_EVENT,"Both concern transportation-related legislation in the same month, but they are separate bills led by different lawmakers."
P0315,P043-A,P044-A,POL_043,POL_044,Politics,medium,follow_up,City Holds Special Election for Vacant Council Seat,"Voters cast ballots Tuesday in a special election to fill a vacant city council seat, with results expected within the week.",Special Election Winner Sworn In,"The winner of last month's special election for city council was sworn into office Monday, completing the process to fill the vacant seat.",2026-04-01,2026-04-20,Undisclosed,Undisclosed,special election; city council seat,special election winner; swearing in,SAME_EVENT,The swearing-in is a direct continuation of the same special election described in the first article.
P0316,P043-A,P045-A,POL_043,POL_045,Politics,hard,different_incident,City Holds Special Election for Vacant Council Seat,"Voters cast ballots Tuesday in a special election to fill a vacant city council seat, with results expected within the week.",Different City Holds Unrelated Special Election,"A separate city held its own special election Sunday for a different vacant office, unrelated to the council election held elsewhere earlier in the month.",2026-04-01,2026-04-05,Undisclosed,Different city,special election; city council,different city; special election,DIFFERENT_EVENT,"Both are special election stories from the same general period with similar framing, but they concern two entirely different cities and offices."
P0317,P040-B,P046-A,POL_040,POL_046,Politics,hard,same_entities_different_date,Kessler-Backed Infrastructure Bill Clears Congress,"A sweeping infrastructure spending bill championed by Senator Dana Kessler passed Congress this week, directing billions toward transportation and broadband projects.",Kessler Leads Passage of Second Infrastructure Bill,"Senator Dana Kessler helped pass a second infrastructure bill Monday, a year after her original measure, this time focused specifically on clean energy grid upgrades.",2026-03-01,2027-03-01,National,National,Kessler; infrastructure bill,Kessler; second infrastructure bill,DIFFERENT_EVENT,"Same senator and similar policy area, but the two infrastructure bills passed a year apart are separate legislative events."
P0318,P047-A,P049-A,POL_047,POL_049,Politics,medium,follow_up,Agency Announces New Immigration Policy,"The federal immigration agency announced a new policy Monday streamlining the visa renewal process for skilled workers, effective immediately.",Immigration Policy Implementation Begins,"Implementation of the streamlined visa renewal policy began Wednesday, a month after the immigration agency's initial announcement, with the first applications now being processed under the new rules.",2026-06-01,2026-07-01,National,National,immigration agency; new policy,immigration policy; implementation,SAME_EVENT,The implementation start is a direct continuation of the same immigration policy announcement described in the first article.
P0319,P047-B,P047-A,POL_047,POL_047,Politics,hard,entity_normalization,Federal Body Streamlines Skilled Worker Visa Process,"A federal body responsible for immigration policy unveiled changes this week aimed at cutting visa renewal processing times for skilled workers, part of a broader effort to address application backlogs.",Agency Announces New Immigration Policy,"The federal immigration agency announced a new policy Monday streamlining the visa renewal process for skilled workers, effective immediately.",2026-06-01,2026-06-01,National,National,federal body; visa policy,immigration agency; new policy,SAME_EVENT,The second article refers to the agency only as 'a federal body responsible for immigration policy' but describes the identical policy change.
P0320,P044-A,P045-A,POL_044,POL_045,Politics,very_hard,same_topic_different_event,Special Election Winner Sworn In,"The winner of last month's special election for city council was sworn into office Monday, completing the process to fill the vacant seat.",Different City Holds Unrelated Special Election,"A separate city held its own special election Sunday for a different vacant office, unrelated to the council election held elsewhere earlier in the month.",2026-04-20,2026-04-05,Undisclosed,Different city,special election winner; swearing in,different city; special election,DIFFERENT_EVENT,"Both are special-election-related stories from the same general period, but the swearing-in concerns the original council race while the second article is an unrelated election in a different city."
P0321,B040-A,B040-B,BIZ_040,BIZ_040,Business,easy,paraphrase,FreshMart Announces Price Cuts on Staple Goods,"Grocery chain FreshMart announced price cuts Monday on hundreds of staple grocery items, a move executives said was aimed at countering inflation-weary customers switching to discount competitors.",FreshMart Slashes Prices on Everyday Groceries,"FreshMart cut prices this week on a wide range of everyday grocery items, part of a strategy to retain customers amid growing competition from discount chains.",2026-02-01,2026-02-01,Undisclosed,Undisclosed,FreshMart; price cuts,FreshMart; grocery price cuts,SAME_EVENT,Both articles describe the same FreshMart price cuts announced on the same date.
P0322,B040-C,B040-A,BIZ_040,BIZ_040,Business,medium,different_source,How Deep Are FreshMart's New Price Cuts?,"An analysis of FreshMart's newly announced price cuts found reductions averaging 8 percent across staple categories, with the steepest cuts on dairy and produce items.",FreshMart Announces Price Cuts on Staple Goods,"Grocery chain FreshMart announced price cuts Monday on hundreds of staple grocery items, a move executives said was aimed at countering inflation-weary customers switching to discount competitors.",2026-02-02,2026-02-01,Undisclosed,Undisclosed,FreshMart; price cut analysis,FreshMart; price cuts,SAME_EVENT,An analytical follow-up covering the same price cuts announced a day earlier.
P0323,B040-A,B041-A,BIZ_040,BIZ_041,Business,easy,same_entity_different_event,FreshMart Announces Price Cuts on Staple Goods,"Grocery chain FreshMart announced price cuts Monday on hundreds of staple grocery items, a move executives said was aimed at countering inflation-weary customers switching to discount competitors.",FreshMart Closes Underperforming Stores,"FreshMart announced Monday it is closing 30 underperforming locations, a decision unrelated to the price cuts it announced earlier in the year.",2026-02-01,2026-06-01,Undisclosed,Undisclosed,FreshMart; price cuts,FreshMart; store closures,DIFFERENT_EVENT,"Same grocery chain, but announcing price cuts and closing stores months later are separate business events."
P0324,B040-A,B042-A,BIZ_040,BIZ_042,Business,medium,same_topic_different_event,FreshMart Announces Price Cuts on Staple Goods,"Grocery chain FreshMart announced price cuts Monday on hundreds of staple grocery items, a move executives said was aimed at countering inflation-weary customers switching to discount competitors.",Rival Chain GreenBasket Announces Its Own Price Cuts,"Competing grocery chain GreenBasket announced price cuts of its own Wednesday, entering a pricing battle recently sparked by a rival's similar move.",2026-02-01,2026-02-10,Undisclosed,Undisclosed,FreshMart; price cuts,GreenBasket; price cuts,DIFFERENT_EVENT,"Both are grocery price-cut announcements within days of each other, but from two separate, competing chains."
P0325,B043-A,B044-A,BIZ_043,BIZ_044,Business,medium,follow_up,Central Bank Raises Interest Rates,"The central bank raised its benchmark interest rate by a quarter point Wednesday, citing persistent inflation pressures despite signs of a cooling labor market.",Markets React to Rate Hike,"Stock markets fell Thursday following the central bank's decision to raise interest rates, with investors bracing for tighter borrowing conditions ahead.",2026-03-01,2026-03-02,National,National,central bank; rate hike,markets; rate hike reaction,SAME_EVENT,The market reaction is directly tied to the same interest rate decision described in the first article.
P0326,B043-A,B045-A,BIZ_043,BIZ_045,Business,hard,different_incident,Central Bank Raises Interest Rates,"The central bank raised its benchmark interest rate by a quarter point Wednesday, citing persistent inflation pressures despite signs of a cooling labor market.",Different Country's Central Bank Cuts Rates Separately,"A different country's central bank moved in the opposite direction Sunday, cutting interest rates to stimulate growth, unrelated to the rate hike announced elsewhere earlier in the month.",2026-03-01,2026-03-15,National,Different country,central bank; rate hike,different central bank; rate cut,DIFFERENT_EVENT,"Both are central bank interest rate decisions in the same month, but they involve two entirely different countries moving in opposite policy directions."
P0327,B040-B,B046-A,BIZ_040,BIZ_046,Business,hard,same_entities_different_date,FreshMart Slashes Prices on Everyday Groceries,"FreshMart cut prices this week on a wide range of everyday grocery items, part of a strategy to retain customers amid growing competition from discount chains.",FreshMart Announces Price Cuts Again a Year Later,"FreshMart announced another round of price cuts Sunday, a year after its previous reductions, again citing competitive pressure from discount grocers.",2026-02-01,2027-02-01,Undisclosed,Undisclosed,FreshMart; original price cuts,FreshMart; second round of price cuts,DIFFERENT_EVENT,"Same chain and similar strategy, but the two price-cut announcements occurred a year apart and are separate business events."
P0328,B047-A,B049-A,BIZ_047,BIZ_049,Business,medium,follow_up,Logistics Company FleetWorks Announces IPO,"Logistics firm FleetWorks announced Friday it plans to go public, filing paperwork for an initial public offering expected to value the company at over $3 billion.",FleetWorks Shares Debut on Exchange,"FleetWorks shares began trading Saturday, a day after the company's IPO was finalized, opening slightly above their offering price.",2026-05-01,2026-05-02,Undisclosed,Undisclosed,FleetWorks; IPO announcement,FleetWorks; share debut,SAME_EVENT,The share debut is a direct continuation of the same IPO process described in the first article.
P0329,B047-B,B047-A,BIZ_047,BIZ_047,Business,hard,different_detail_level,Why Investors Are Watching FleetWorks' IPO Closely,"FleetWorks' planned initial public offering, announced this week, comes as the logistics sector faces mixed investor sentiment following a string of disappointing debuts from peers, according to analysts tracking the offering. The company, which operates a network of automated warehouses across the country, reported revenue growth of 45 percent last year, a figure underwriters are highlighting to differentiate the offering from less profitable logistics startups that have struggled since going public. FleetWorks said proceeds from the offering would primarily fund expansion into international markets over the next two years.",Logistics Company FleetWorks Announces IPO,"Logistics firm FleetWorks announced Friday it plans to go public, filing paperwork for an initial public offering expected to value the company at over $3 billion.",2026-05-01,2026-05-01,Undisclosed,Undisclosed,FleetWorks; IPO investor context,FleetWorks; IPO announcement,SAME_EVENT,The second article provides much richer investor and financial context about the same IPO announcement reported briefly in the first.
P0330,B044-A,B045-A,BIZ_044,BIZ_045,Business,very_hard,same_topic_different_event,Markets React to Rate Hike,"Stock markets fell Thursday following the central bank's decision to raise interest rates, with investors bracing for tighter borrowing conditions ahead.",Different Country's Central Bank Cuts Rates Separately,"A different country's central bank moved in the opposite direction Sunday, cutting interest rates to stimulate growth, unrelated to the rate hike announced elsewhere earlier in the month.",2026-03-02,2026-03-15,National,Different country,markets; rate hike reaction,different central bank; rate cut,DIFFERENT_EVENT,"Both are central bank interest rate stories from the same general period, but the market reaction concerns the original rate hike while the second article is an unrelated rate cut in a different country."
P0331,SP040-A,SP040-B,SPORT_040,SPORT_040,Sports,easy,paraphrase,Ines Roy Wins Clay Court Title,"Tennis player Ines Roy won the clay court title Sunday, defeating her opponent in straight sets to claim her second title of the season.",Roy Claims Clay Court Crown in Straight Sets,"Ines Roy captured the clay court championship this week, needing just two sets to seal her second title of the year.",2026-05-01,2026-05-01,"Paris, France","Paris, France",Ines Roy; clay court title,Ines Roy; clay court championship,SAME_EVENT,Both describe the same clay court title win by Roy in straight sets on the same date.
P0332,SP040-C,SP040-A,SPORT_040,SPORT_040,Sports,medium,different_source,Roy's Season Surges With Second Clay Title,"Ines Roy's win Sunday marks her second clay court title of the season, further cementing her status as one of the tour's most in-form players heading into the summer swing.",Ines Roy Wins Clay Court Title,"Tennis player Ines Roy won the clay court title Sunday, defeating her opponent in straight sets to claim her second title of the season.",2026-05-02,2026-05-01,"Paris, France","Paris, France",Ines Roy; season form,Ines Roy; clay court title,SAME_EVENT,A season-recap piece about the same title win reported a day earlier.
P0333,SP040-A,SP041-A,SPORT_040,SPORT_041,Sports,easy,same_entity_different_event,Ines Roy Wins Clay Court Title,"Tennis player Ines Roy won the clay court title Sunday, defeating her opponent in straight sets to claim her second title of the season.",Roy Withdraws From Next Tournament,"Ines Roy withdrew from her next scheduled tournament Monday, citing minor fatigue, a decision unrelated to her clay court title win earlier in the season.",2026-05-01,2026-06-01,"Paris, France",Undisclosed,Roy; clay court title,Roy; tournament withdrawal,DIFFERENT_EVENT,"Same player, but winning a title and withdrawing from a separate tournament a month later are unrelated events."
P0334,SP040-A,SP042-A,SPORT_040,SPORT_042,Sports,medium,same_topic_different_event,Ines Roy Wins Clay Court Title,"Tennis player Ines Roy won the clay court title Sunday, defeating her opponent in straight sets to claim her second title of the season.",Different Player Wins Separate Clay Tournament,"A different tennis player won a separate clay court tournament Thursday, unrelated to the title won by a rival earlier in the week.",2026-05-01,2026-05-05,"Paris, France",Undisclosed,Roy; clay court title,different player; clay court tournament,DIFFERENT_EVENT,"Both are clay court tennis titles won within the same week, but by two different, unrelated players in separate tournaments."
P0335,SP043-A,SP044-A,SPORT_043,SPORT_044,Sports,medium,follow_up,Nighthawks Fire Head Coach,"The Nighthawks basketball franchise fired its head coach Thursday following a disappointing start to the season, the team announced.",Nighthawks Name Interim Coach,"The Nighthawks named an assistant as interim head coach Monday, days after firing their previous coach amid a difficult start to the season.",2026-01-01,2026-01-05,Undisclosed,Undisclosed,Nighthawks; coach fired,Nighthawks; interim coach named,SAME_EVENT,The interim coach appointment is a direct continuation of the same coaching change described in the first article.
P0336,SP043-A,SP045-A,SPORT_043,SPORT_045,Sports,hard,different_incident,Nighthawks Fire Head Coach,"The Nighthawks basketball franchise fired its head coach Thursday following a disappointing start to the season, the team announced.",Different Basketball Team Also Fires Coach,"A separate basketball franchise fired its head coach Saturday, an unrelated decision made the same week as another team's coaching change.",2026-01-01,2026-01-10,Undisclosed,Undisclosed,Nighthawks; coach fired,different team; coach fired,DIFFERENT_EVENT,"Both are coaching-change stories from the same week with similar framing, but they involve two entirely different basketball teams."
P0337,SP040-B,SP046-A,SPORT_040,SPORT_046,Sports,hard,same_entities_different_date,Roy Claims Clay Court Crown in Straight Sets,"Ines Roy captured the clay court championship this week, needing just two sets to seal her second title of the year.",Roy Wins Clay Court Title Again the Following Year,"Ines Roy won the clay court title for a second consecutive year Sunday, defending her crown in a tightly contested three-set final.",2026-05-01,2027-05-01,"Paris, France","Paris, France",Roy; clay court title,Roy; title defense,DIFFERENT_EVENT,"Same player and same tournament, but the two title wins are separate annual editions held a year apart."
P0338,SP047-A,SP048-A,SPORT_047,SPORT_048,Sports,medium,follow_up,Swimmer Sets New Record at Championships,"A swimmer set a new national record Tuesday at the championships, shaving nearly a second off the previous mark in the 200m freestyle.",Record-Breaking Swimmer Celebrates With Teammates,"The swimmer who broke the national record Tuesday celebrated with teammates after the race, calling the achievement the highlight of her career so far.",2026-07-01,2026-07-02,Undisclosed,Undisclosed,swimmer; national record,swimmer; post-race celebration,SAME_EVENT,The celebration coverage is directly about the same record-breaking swim described in the first article.
P0339,SP047-B,SP047-A,SPORT_047,SPORT_047,Sports,hard,different_detail_level,How the National Record Fell: A Race Breakdown,"Tuesday's record-breaking swim came down to a blistering final 50 meters, coaches said, with the swimmer's underwater dolphin kicks off each wall shaving crucial fractions of a second compared to her rivals. The previous record had stood for six years, and analysts noted that the swimmer's improved turn technique, refined over the past training cycle, was the key factor behind the breakthrough. National team coaches said the swim positions her as a strong medal contender heading into next year's international championships.",Swimmer Sets New Record at Championships,"A swimmer set a new national record Tuesday at the championships, shaving nearly a second off the previous mark in the 200m freestyle.",2026-07-02,2026-07-01,Undisclosed,Undisclosed,swimmer; race breakdown,swimmer; national record,SAME_EVENT,The second article gives a detailed technical breakdown of the same record-breaking swim reported briefly in the first.
P0340,SP044-A,SP045-A,SPORT_044,SPORT_045,Sports,very_hard,same_topic_different_event,Nighthawks Name Interim Coach,"The Nighthawks named an assistant as interim head coach Monday, days after firing their previous coach amid a difficult start to the season.",Different Basketball Team Also Fires Coach,"A separate basketball franchise fired its head coach Saturday, an unrelated decision made the same week as another team's coaching change.",2026-01-05,2026-01-10,Undisclosed,Undisclosed,Nighthawks; interim coach named,different team; coach fired,DIFFERENT_EVENT,"Both are basketball coaching-change stories from the same general stretch, but the interim coach appointment concerns the Nighthawks while the second article is an unrelated firing at a different team."
P0341,SC040-A,SC040-B,SCI_040,SCI_040,Science,easy,paraphrase,Researchers Develop New Malaria Vaccine Candidate,"A research team announced Sunday it has developed a new malaria vaccine candidate showing strong efficacy in early trials, potentially offering longer-lasting protection than existing options.",New Malaria Vaccine Shows Promise in Early Trials,"Scientists reported this week that a newly developed malaria vaccine candidate demonstrated strong protective effects in initial trials, raising hopes for improved long-term immunity.",2026-02-01,2026-02-01,Undisclosed,Undisclosed,malaria vaccine candidate; research team,malaria vaccine; early trials,SAME_EVENT,Both describe the same new malaria vaccine candidate and its early trial results announced the same week.
P0342,SC040-C,SC040-A,SCI_040,SCI_040,Science,medium,different_source,Scientists Explain What Sets New Malaria Vaccine Apart,"The malaria vaccine candidate announced this week uses a novel delivery mechanism that researchers say could extend protection well beyond existing vaccines, according to details shared at a briefing Tuesday.",Researchers Develop New Malaria Vaccine Candidate,"A research team announced Sunday it has developed a new malaria vaccine candidate showing strong efficacy in early trials, potentially offering longer-lasting protection than existing options.",2026-02-03,2026-02-01,Undisclosed,Undisclosed,malaria vaccine; delivery mechanism,malaria vaccine candidate; research team,SAME_EVENT,A mechanism-focused follow-up about the same vaccine candidate announced earlier in the week.
P0343,SC040-A,SC041-A,SCI_040,SCI_041,Science,easy,same_entity_different_event,Researchers Develop New Malaria Vaccine Candidate,"A research team announced Sunday it has developed a new malaria vaccine candidate showing strong efficacy in early trials, potentially offering longer-lasting protection than existing options.",Same Team Begins Trial for Different Vaccine,"The same research group announced Wednesday it has begun trials for an unrelated vaccine candidate targeting a different disease, separate from its malaria vaccine work.",2026-02-01,2026-07-01,Undisclosed,Undisclosed,malaria vaccine; research team,different vaccine; same team,DIFFERENT_EVENT,"Same research team, but developing a malaria vaccine and beginning trials for an unrelated vaccine months later are separate events."
P0344,SC040-A,SC042-A,SCI_040,SCI_042,Science,medium,same_topic_different_event,Researchers Develop New Malaria Vaccine Candidate,"A research team announced Sunday it has developed a new malaria vaccine candidate showing strong efficacy in early trials, potentially offering longer-lasting protection than existing options.",Different Lab Develops Separate Malaria Treatment,"A different laboratory announced its own malaria treatment breakthrough Sunday, an antimalarial drug rather than a vaccine, unrelated to the vaccine candidate reported earlier in the month.",2026-02-01,2026-02-15,Undisclosed,Undisclosed,malaria vaccine; research team,malaria treatment; different lab,DIFFERENT_EVENT,"Both are malaria research breakthroughs published close together, but they involve a vaccine versus a drug treatment from entirely different labs."
P0345,SC043-A,SC044-A,SCI_043,SCI_044,Science,medium,follow_up,Astronomers Detect Fast Radio Burst Signal,"Astronomers detected a mysterious fast radio burst signal Sunday, a brief but intense burst of radio waves originating from a distant galaxy.",Follow-Up Analysis Pinpoints Radio Burst Source,"Further analysis published Saturday has pinpointed the likely source of the fast radio burst detected earlier this year, narrowing it to a specific type of collapsed star.",2026-03-01,2026-08-01,Undisclosed,Undisclosed,fast radio burst; detection,fast radio burst; source analysis,SAME_EVENT,The source analysis is a direct continuation of the same fast radio burst signal described in the first article.
P0346,SC043-A,SC045-A,SCI_043,SCI_045,Science,hard,different_incident,Astronomers Detect Fast Radio Burst Signal,"Astronomers detected a mysterious fast radio burst signal Sunday, a brief but intense burst of radio waves originating from a distant galaxy.",Different Fast Radio Burst Detected by Different Team,"A separate research team detected an unrelated fast radio burst Friday, originating from a different part of the sky than the burst reported earlier this year.",2026-03-01,2026-03-20,Undisclosed,Undisclosed,fast radio burst; detection,different fast radio burst; different team,DIFFERENT_EVENT,"Both are fast radio burst detections from the same general period with similar framing, but they involve two entirely separate signals detected by different teams."
P0347,SC040-B,SC046-A,SCI_040,SCI_046,Science,hard,same_entities_different_date,New Malaria Vaccine Shows Promise in Early Trials,"Scientists reported this week that a newly developed malaria vaccine candidate demonstrated strong protective effects in initial trials, raising hopes for improved long-term immunity.",Malaria Vaccine Team Announces Trial a Year Later,"The research group behind the earlier malaria vaccine candidate announced a large-scale trial Monday, a year after the vaccine's initial development was reported.",2026-02-01,2027-02-01,Undisclosed,Undisclosed,malaria vaccine candidate; early trials,malaria vaccine team; large-scale trial,DIFFERENT_EVENT,"Same research team and vaccine, but the initial candidate announcement and the large-scale trial launched a year later are distinct milestones."
P0348,SC047-A,SC049-A,SCI_047,SCI_049,Science,medium,follow_up,New Material Discovered for Solar Panels,"Researchers announced Sunday the discovery of a new material that could significantly improve solar panel efficiency, potentially lowering the cost of solar energy production.",Solar Panel Material Licensed to Manufacturer,"The newly discovered solar panel material has been licensed to a major manufacturer, researchers announced Saturday, five months after the material's initial discovery was reported.",2026-04-01,2026-08-01,Undisclosed,Undisclosed,solar panel material; discovery,solar panel material; licensing,SAME_EVENT,The licensing announcement is a direct continuation of the same material discovery described in the first article.
