"pair_id","article_a_id","article_b_id","event_a_id","event_b_id","category","difficulty","relationship_type","article_a_title","article_a_text","article_b_title","article_b_text","date_a","date_b","location_a","location_b","entities_a","entities_b","ground_truth","reason"
"P0411","T059-A","T059-B","TECH_059","TECH_059","Technology","easy","paraphrase","Zephyr Mobility Unveils Trundle Delivery Pod","Zephyr Mobility presented Trundle, a low-speed autonomous pod designed for last-mile parcel delivery, at a demonstration in Rotterdam. The vehicle carries up to sixty kilograms and travels on cycle paths at walking pace. The company said pilot routes would open with two Dutch retailers in the spring.","Rotterdam Demonstration Showcases Sidewalk Delivery Robot","A pod-shaped delivery vehicle from Zephyr Mobility was shown moving along a marked cycle lane in Rotterdam, stopping automatically for pedestrians. Zephyr said the machine, named Trundle, is intended for short parcel runs and will begin trial deliveries with retail partners in the coming months.","2027-01-19","2027-01-19","Rotterdam, Netherlands","Rotterdam, Netherlands","Zephyr Mobility; Trundle pod","Zephyr Mobility; Trundle","SAME_EVENT","Both report the same Rotterdam demonstration of the same vehicle on the same date in clearly different wording."
"P0412","T060-A","T060-B","TECH_060","TECH_060","Technology","medium","different_source","Foundry Collective Publishes Mistpine-2 Weights","Foundry Collective released the weights for Mistpine-2, its second open language model, under a licence permitting commercial use. The group said the model was trained on a curated corpus and performs close to larger closed systems on reasoning benchmarks. Downloads opened alongside a technical report.","Open Model Release Draws Attention From Smaller Developers","A research consortium has made a mid-sized language model freely downloadable, publishing both the parameters and a description of its training data. Developers at smaller firms said the permissive terms make the model usable in products without licensing negotiations. The release includes benchmark results the group says are competitive with proprietary systems.","2026-09-30","2026-09-30","Zurich, Switzerland","Zurich, Switzerland","Foundry Collective; Mistpine-2; open weights","research consortium; open language model; permissive licence","SAME_EVENT","Same open-weight model release on the same date, one article naming the model and group and the other describing them generically."
"P0413","T050-A","T062-A","TECH_050","TECH_062","Technology","hard","same_entity_different_event","Vertiq Labs Introduces Lattice Camera Module for Edge AI","Vertiq Labs on Monday introduced Lattice, a camera module that runs object-recognition models directly on the sensor board rather than streaming footage to a server. The company said the part targets warehouse operators and retail chains that struggle with bandwidth limits at their sites. Chief technology officer Hana Brill told reporters in Austin that early units would reach industrial customers before any wider release.","Vertiq Recalls Lattice Units Over Overheating Reports","Vertiq Labs is recalling a production run of its Lattice camera modules after customers reported units shutting down under sustained load. The company said a power-regulation component sourced from a single supplier is at fault and that replacements will ship free of charge. Roughly 9,000 modules are affected, all from batches assembled in October, and Vertiq said it had identified the affected serial ranges from its own assembly records rather than from customer reports alone. Warehouse operators running the modules in continuous shifts were the first to notice the shutdowns, which occurred after several hours at high ambient temperatures. Vertiq said it has qualified a second supplier for the component.","2026-09-14","2026-12-08","Austin, USA","Austin, USA","Vertiq Labs; Lattice module; Hana Brill","Vertiq Labs; Lattice recall; power regulation component","DIFFERENT_EVENT","Same product and company, but the launch announcement and the later recall are distinct incidents nearly three months apart."
"P0414","T052-A","T063-A","TECH_052","TECH_063","Technology","hard","same_entity_different_event","Kestrel Compute Ships Halcyon 3 Database Engine","Kestrel Compute released version three of its Halcyon database engine on Friday, adding native support for time-series workloads and a rewritten query planner. The Berlin company said the planner cuts execution time on complex joins by roughly half in its own benchmarks, though it declined to publish comparisons against competing systems. Existing customers can upgrade without changing schemas, according to chief executive Otto Behrend, who said compatibility had been a condition set by the company's largest accounts. Kestrel also confirmed that support for the previous major version continues for a further two years.","Kestrel Issues Emergency Patch for Halcyon Flaw","Kestrel Compute has published an out-of-band patch for a flaw in Halcyon that could let an authenticated user read data from other tenants on shared deployments. The Berlin company said it learned of the issue from an outside researcher and has no evidence of exploitation. Administrators were urged to apply the update immediately.","2026-10-02","2026-10-21","Berlin, Germany","Berlin, Germany","Kestrel Compute; Halcyon 3; Otto Behrend","Kestrel Compute; Halcyon patch; security researcher","DIFFERENT_EVENT","Same company and product line with overlapping vocabulary, but a scheduled major release and a later emergency security patch are separate events."
"P0415","T061-A","T061-B","TECH_061","TECH_061","Technology","medium","different_detail_level","Sablefish Networks Opens Satellite Internet Beta","Sablefish Networks began accepting beta users for its satellite broadband service in New Zealand on Wednesday, starting with households on the South Island. The company said the trial would run for several months before any commercial pricing is announced.","Sablefish Starts Limited Broadband Trial in New Zealand","Sablefish Networks has opened a trial of its satellite internet service to a first group of households, concentrating on South Island addresses where fixed connections are slow or absent. The company said participants receive a dish and router at no cost and are asked to report performance weekly through an application that also logs speed tests automatically. Sablefish expects to widen the trial as more satellites reach operating orbit, and said pricing for a commercial launch has not been set. Local telecommunications officials have been briefed on the rollout and said spectrum arrangements were settled last year. The company acknowledged that service will be intermittent during the early phase, with coverage gaps of several minutes at some times of day until the constellation is more complete. Rural advocacy groups welcomed the trial while noting that similar promises have been made before. Sablefish said around 400 households are taking part initially.","2027-02-10","2027-02-10","Christchurch, New Zealand","Christchurch, New Zealand","Sablefish Networks; satellite broadband beta","Sablefish Networks; satellite internet trial; South Island households","SAME_EVENT","A short item and a detailed report on the identical beta opening on the same day in the same country."
"P0416","T061-A","T059-A","TECH_061","TECH_059","Technology","easy","same_topic_different_event","Sablefish Networks Opens Satellite Internet Beta","Sablefish Networks began accepting beta users for its satellite broadband service in New Zealand on Wednesday, starting with households on the South Island. The company said the trial would run for several months before any commercial pricing is announced.","Zephyr Mobility Unveils Trundle Delivery Pod","Zephyr Mobility presented Trundle, a low-speed autonomous pod designed for last-mile parcel delivery, at a demonstration in Rotterdam. The vehicle carries up to sixty kilograms and travels on cycle paths at walking pace. The company said pilot routes would open with two Dutch retailers in the spring.","2027-02-10","2027-01-19","Christchurch, New Zealand","Rotterdam, Netherlands","Sablefish Networks; satellite broadband beta","Zephyr Mobility; Trundle pod","DIFFERENT_EVENT","Unrelated companies, products, countries and dates; only the broad technology-launch framing is shared."
"P0417","T054-C","T054-B","TECH_054","TECH_054","Technology","hard","follow_up","Marrow Customers Told to Reset Passwords After Intrusion","Marrow Systems is instructing account holders to change their passwords following the intrusion disclosed Thursday, and has forced a reset on sessions opened in the past month. The company said hashed credentials were among the records reached by the attacker. A support page listing the affected account types went live the same evening.","Marrow Breach Touched 4.2 Million Accounts, Company Says","Marrow Systems put a number on Thursday's intrusion later in the day, telling customers that roughly 4.2 million account records were exposed, including names, email addresses and hashed passwords. The Toronto company said payment details were held on a separate system that investigators believe was untouched. Notification emails went out in batches through the evening.","2026-11-05","2026-11-05","Toronto, Canada","Toronto, Canada","Marrow Systems; password reset; breach notification","Marrow Systems; 4.2 million records; breach notification","SAME_EVENT","Both articles report parts of the same disclosure on the same evening, one covering the scale and one the customer instructions that were issued as part of it."
"P0418","T058-A","T051-A","TECH_058","TECH_051","Technology","easy","same_topic_different_event","Quillon Semiconductor Opens Penang Plant","Quillon Semiconductor began production at a new packaging plant in Penang on Wednesday. The company said the site will employ about 1,800 people and serve customers seeking supply outside its home market.","Vertiq Labs Buys Speech Startup Tonewell","Vertiq Labs has agreed to acquire Tonewell, a small speech-recognition developer, in a deal the buyer described as modest in size. Tonewell's fifteen engineers will join Vertiq's audio group in Austin, and the startup's noise-suppression work is expected to appear in future Vertiq hardware. Neither company disclosed financial terms.","2026-12-03","2026-09-29","Penang, Malaysia","Austin, USA","Quillon Semiconductor; Penang plant","Vertiq Labs; Tonewell","DIFFERENT_EVENT","Different companies, different corporate actions and different continents; nothing links the two beyond the technology sector."
"P0419","T060-A","T064-A","TECH_060","TECH_064","Technology","very_hard","same_entities_different_date","Foundry Collective Publishes Mistpine-2 Weights","Foundry Collective released the weights for Mistpine-2, its second open language model, under a licence permitting commercial use. The group said the model was trained on a curated corpus and performs close to larger closed systems on reasoning benchmarks. Downloads opened alongside a technical report.","Foundry Collective Releases Mistpine-3 Under Same Licence","Foundry Collective has published Mistpine-3, keeping the commercial-use licence it applied to the previous version. The group said the new model was trained on an expanded corpus and narrows the gap with closed systems on reasoning tasks. A technical report accompanied the download.","2026-09-30","2027-02-24","Zurich, Switzerland","Zurich, Switzerland","Foundry Collective; Mistpine-2; open weights","Foundry Collective; Mistpine-3; open weights","DIFFERENT_EVENT","Nearly identical sentence patterns, same group and same licence terms, but two separate model releases five months apart."
"P0420","T055-A","T055-B","TECH_055","TECH_055","Technology","medium","different_style","Ridgeline Cloud Discloses Intrusion Affecting Business Clients","Ridgeline Cloud has told business customers that an attacker gained access to an internal administration console last week. The Dublin hosting provider said no customer workloads appear to have been altered and that credentials have been rotated across the affected environment. An external forensics firm has been engaged.","What Ridgeline's Console Breach Means for Tenants","The compromise at Ridgeline Cloud reached an internal management interface rather than customer environments, which limits the immediate blast radius but raises questions about how the console was exposed. Ridgeline has rotated administrative credentials and brought in outside investigators. Tenants should still audit their own access logs for the period in question.","2026-11-13","2026-11-14","Dublin, Ireland","Dublin, Ireland","Ridgeline Cloud; administration console; forensics firm","Ridgeline Cloud; management interface; credential rotation","SAME_EVENT","Breaking disclosure and an analytical piece published the next day, both describing the identical Ridgeline console compromise."
"P0421","P050-A","P050-B","POL_050","POL_050","Politics","easy","paraphrase","Nordvik Parliament Passes Digital Identity Act","Nordvik lawmakers approved the Digital Identity Act on Tuesday by a margin of 94 to 61, creating a national credential that residents can use for tax filings, health records and banking. The measure takes effect in phases beginning next July. Opposition members warned about data concentration during a four-hour debate.","National ID Credential Approved in Halsted Vote","A bill establishing a single digital credential for Nordvik residents cleared parliament on Tuesday after a lengthy debate in Halsted. Under the law, the credential will be introduced in stages starting in July and will cover access to tax, health and banking services. Critics in the chamber argued the system places too much information in one place.","2026-10-06","2026-10-06","Halsted, Nordvik","Halsted, Nordvik","Nordvik parliament; Digital Identity Act","Nordvik parliament; digital credential law","SAME_EVENT","Same parliamentary vote on the same bill on the same day, reported with different structure and wording."
"P0422","P050-A","P051-A","POL_050","POL_051","Politics","hard","same_topic_different_event","Nordvik Parliament Passes Digital Identity Act","Nordvik lawmakers approved the Digital Identity Act on Tuesday by a margin of 94 to 61, creating a national credential that residents can use for tax filings, health records and banking. The measure takes effect in phases beginning next July. Opposition members warned about data concentration during a four-hour debate.","Nordvik Announces Biometric Border Pilot at Two Crossings","The Nordvik interior ministry said it would begin testing biometric checks at two land crossings from January, using facial matching to speed processing for returning residents. Officials described the pilot as an administrative programme requiring no new legislation. Privacy groups said the scheme should have been debated in parliament.","2026-10-06","2026-10-27","Halsted, Nordvik","Halsted, Nordvik","Nordvik parliament; Digital Identity Act","Nordvik interior ministry; biometric border pilot","DIFFERENT_EVENT","Both concern identity technology in the same country weeks apart, but one is a parliamentary vote on a statute and the other a ministry-run border pilot with no legislative step."
"P0423","P052-A","P052-B","POL_052","POL_052","Politics","medium","different_source","Vega Wins Solvana Presidential Runoff","Marisol Vega won Solvana's presidential runoff with 52.4 percent of the vote, according to results published by the electoral council late Sunday. Her opponent conceded shortly after the count passed ninety percent of polling stations. Vega addressed supporters in Puerto Alma, promising to move quickly on public transport funding, and said her first act would be to convene provincial governors. Turnout reached 68 percent, well above the first round, with the largest increases recorded in coastal provinces where transport costs featured heavily in campaigning. Observers described the process as orderly. Vega will take office in April with a legislature in which her coalition holds a plurality but not a majority, an arrangement that analysts expect to shape the pace of her programme.","Narrow Second-Round Victory for Vega in Solvana","Solvana's electoral council reported that Marisol Vega had taken the presidency in Sunday's second round, finishing just under three points ahead of her rival. Crowds gathered outside her campaign headquarters in Puerto Alma as the concession came. Vega used her first remarks to signal that transport spending would be an early priority.","2027-03-14","2027-03-14","Puerto Alma, Solvana","Puerto Alma, Solvana","Marisol Vega; Solvana electoral council; runoff","Marisol Vega; Solvana electoral council; second round","SAME_EVENT","Two accounts of the same runoff result announced the same night, differing in framing and detail selection."
"P0424","P052-A","P053-A","POL_052","POL_053","Politics","hard","follow_up","Vega Wins Solvana Presidential Runoff","Marisol Vega won Solvana's presidential runoff with 52.4 percent of the vote, according to results published by the electoral council late Sunday. Her opponent conceded shortly after the count passed ninety percent of polling stations. Vega addressed supporters in Puerto Alma, promising to move quickly on public transport funding, and said her first act would be to convene provincial governors. Turnout reached 68 percent, well above the first round, with the largest increases recorded in coastal provinces where transport costs featured heavily in campaigning. Observers described the process as orderly. Vega will take office in April with a legislature in which her coalition holds a plurality but not a majority, an arrangement that analysts expect to shape the pace of her programme.","Vega Names Cabinet, Keeping Finance Minister in Place","President-elect Marisol Vega presented her cabinet on Monday, retaining the incumbent finance minister and appointing a former mayor to the transport portfolio. The list drew criticism from parts of her coalition that had expected a broader clearout. Confirmation hearings are scheduled for the following week.","2027-03-14","2027-03-29","Puerto Alma, Solvana","Puerto Alma, Solvana","Marisol Vega; electoral council; runoff result","Marisol Vega; cabinet appointments; finance minister","DIFFERENT_EVENT","The cabinet announcement follows from the election but is a separate, later development with its own actors and news value, not part of the election-night event cluster."
"P0425","P053-A","P054-A","POL_053","POL_054","Politics","very_hard","same_person_different_event","Vega Names Cabinet, Keeping Finance Minister in Place","President-elect Marisol Vega presented her cabinet on Monday, retaining the incumbent finance minister and appointing a former mayor to the transport portfolio. The list drew criticism from parts of her coalition that had expected a broader clearout. Confirmation hearings are scheduled for the following week.","Vega Sworn In as Solvana's President","Marisol Vega took the oath of office in Puerto Alma on Saturday, pledging in a short address to submit a transport financing bill within her first month. Regional heads of government attended the ceremony at the national assembly building. Vega's ministers were sworn in immediately afterwards.","2027-03-29","2027-04-10","Puerto Alma, Solvana","Puerto Alma, Solvana","Marisol Vega; cabinet appointments","Marisol Vega; inauguration; national assembly","DIFFERENT_EVENT","Same person, same city and overlapping cast of ministers, but a cabinet announcement and an inauguration ceremony twelve days later are distinct events."
"P0426","P055-A","P055-B","POL_055","POL_055","Politics","medium","different_detail_level","Riverbend County Approves Rent Stabilisation Rules","The Riverbend County board voted 5 to 2 on Wednesday to cap annual rent increases at four percent in buildings older than fifteen years. The ordinance takes effect at the start of the next calendar year.","Rent Increase Cap Clears Riverbend Board After Long Hearing","County supervisors in Riverbend approved a measure limiting yearly rent increases to four percent for older residential buildings, ending a hearing that ran past midnight. The ordinance applies to structures completed more than fifteen years ago and exempts owner-occupied duplexes, an amendment added on the floor after two supervisors said small landlords would otherwise leave the market. Landlord associations told the board the cap would discourage maintenance spending, arguing that owners facing capped revenue would defer roof and boiler replacement until failure. Tenant groups called the threshold too high, pointing to survey data showing median increases below four percent in three of the past five years, which they said would leave the cap non-binding for most renters. Several speakers described being priced out of neighbourhoods where they had lived for decades. The rules take effect at the start of the next calendar year, and the county will publish guidance for property managers before then, including a standard notice form that must accompany any increase. Enforcement will run through the existing housing office, which supervisors were told would need two additional staff to handle complaints. The board also directed staff to report back after eighteen months with data on vacancy rates, average increases and the number of exemption claims filed, a review that supporters framed as the condition for keeping the measure and opponents described as too distant to matter. Two supervisors who voted against said they would introduce a separate measure offering tax relief for owners who complete energy upgrades, arguing that incentives work better than caps. The chair closed the hearing by noting that more than sixty residents had signed up to speak and that the board had sat for over five hours. A legal challenge remains possible: an association representing property owners said it was taking advice on whether the fifteen-year threshold is consistent with state law.","2026-11-18","2026-11-18","Riverbend County, USA","Riverbend County, USA","Riverbend County board; rent stabilisation ordinance","Riverbend county supervisors; rent cap; landlord associations","SAME_EVENT","A two-line result item and a full hearing report covering the same board vote on the same ordinance and date."
"P0427","P055-A","P056-A","POL_055","POL_056","Politics","hard","different_incident","Riverbend County Approves Rent Stabilisation Rules","The Riverbend County board voted 5 to 2 on Wednesday to cap annual rent increases at four percent in buildings older than fifteen years. The ordinance takes effect at the start of the next calendar year.","Ashford County Board Rejects Rent Cap Proposal","A proposal to limit annual rent increases in Ashford County failed on Friday, with supervisors voting 4 to 3 against. Backers said they would return with a narrower version covering only buildings above a certain unit count. Several speakers referenced the debate under way in neighbouring jurisdictions.","2026-11-18","2026-11-20","Riverbend County, USA","Ashford County, USA","Riverbend County board; rent stabilisation ordinance","Ashford County board; rent cap proposal","DIFFERENT_EVENT","Two separate county votes on similar policies two days apart, with opposite outcomes and different governing bodies."
"P0428","P057-A","P057-B","POL_057","POL_057","Politics","medium","different_style","Ruud Survives No-Confidence Vote in Nordvik","Prime Minister Aksel Ruud survived a no-confidence motion on Thursday, with 88 lawmakers backing the motion and 97 opposing it. The vote followed weeks of pressure over a delayed rail contract. Ruud told the chamber afterwards that the government would publish the contract review in full.","Ruud Holds On, But the Rail File Is Not Closed","Nine votes kept Aksel Ruud in office on Thursday, a margin thin enough that his own backbenchers will read it as a warning. The motion grew out of anger over the handling of a rail contract, and Ruud's promise to release the review in full is an attempt to defuse that anger rather than settle it. Coalition partners were notably quiet after the count.","2027-01-21","2027-01-24","Halsted, Nordvik","Halsted, Nordvik","Aksel Ruud; Nordvik parliament; no-confidence motion","Aksel Ruud; rail contract review; coalition partners","SAME_EVENT","News report and a weekend commentary on the identical no-confidence vote held on the Thursday."
"P0429","P057-A","P058-A","POL_057","POL_058","Politics","very_hard","same_entities_different_date","Ruud Survives No-Confidence Vote in Nordvik","Prime Minister Aksel Ruud survived a no-confidence motion on Thursday, with 88 lawmakers backing the motion and 97 opposing it. The vote followed weeks of pressure over a delayed rail contract. Ruud told the chamber afterwards that the government would publish the contract review in full.","Opposition Files Fresh No-Confidence Motion Against Ruud","Opposition parties in Nordvik submitted a new motion of no confidence in Prime Minister Aksel Ruud on Wednesday, this time citing the government's handling of hospital staffing shortages. A vote is expected within the week. Ruud's office said the motion was an attempt to reopen a question parliament had already settled.","2027-01-21","2027-05-06","Halsted, Nordvik","Halsted, Nordvik","Aksel Ruud; Nordvik parliament; no-confidence motion","Aksel Ruud; opposition parties; second no-confidence motion","DIFFERENT_EVENT","Same prime minister, same chamber and the same procedural device, but the two motions are months apart and arise from unrelated grievances."
"P0430","P059-A","P059-B","POL_059","POL_059","Politics","medium","entity_normalization","Tavura's Federal Assembly Ratifies Pension Overhaul","The Federal Assembly of Tavura ratified a pension overhaul on Tuesday, raising the standard retirement age by two years over the coming decade and changing how benefits are indexed. The measure passed with support from both governing parties. Implementation begins in 2028.","Tavuran Lawmakers Approve Retirement Age Increase","Tavura's national legislature has signed off on changes to the state pension, phasing in a two-year rise in the retirement age and altering the indexation formula. Both parties in government voted in favour. Officials said the first changes would apply from 2028.","2026-09-08","2026-09-08","Tavura City, Tavura","Tavura City, Tavura","Federal Assembly of Tavura; pension overhaul","Tavura national legislature; state pension changes","SAME_EVENT","The same ratification vote, with the legislature named formally in one article and described generically in the other."
