pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0111,P011-A,P011-B,POL_011,POL_011,Politics,easy,paraphrase,Mayor Klein Signs Housing Reform Bill,"Denver Mayor Rosa Klein signed a housing reform bill into law Tuesday, easing zoning restrictions to allow more multi-unit construction across the city.",Klein Enacts Zoning Overhaul in Denver,"Rosa Klein put her signature on a sweeping zoning reform measure this week, a move supporters say will accelerate housing construction in Denver's most restrictive neighborhoods.",2026-03-01,2026-03-01,"Denver, USA","Denver, USA",Rosa Klein; housing reform bill,Rosa Klein; zoning reform,SAME_EVENT,Both describe the same housing/zoning bill being signed by Mayor Klein on the same date.
P0112,P011-A,P012-A,POL_011,POL_012,Politics,easy,same_person_different_event,Mayor Klein Signs Housing Reform Bill,"Denver Mayor Rosa Klein signed a housing reform bill into law Tuesday, easing zoning restrictions to allow more multi-unit construction across the city.",Klein Vetoes Separate Transit Funding Bill,"Mayor Rosa Klein vetoed a transit funding bill Friday, citing concerns over its financing structure, a decision unrelated to the housing measure she signed earlier this year.",2026-03-01,2026-05-01,"Denver, USA","Denver, USA",Rosa Klein; housing bill,Rosa Klein; transit veto,DIFFERENT_EVENT,"Same mayor, but signing a housing bill and vetoing an unrelated transit bill months later are separate events."
P0113,P013-A,P014-A,POL_013,POL_014,Politics,medium,follow_up,National Referendum on Constitutional Amendment Held,"Voters went to the polls Monday for a national referendum on a proposed constitutional amendment expanding judicial term limits, with turnout reported as unusually high.",Referendum Results Certified by Electoral Commission,"The electoral commission certified the results of Monday's referendum Friday, confirming the constitutional amendment passed with just over 54 percent support.",2026-06-01,2026-06-05,National,National,constitutional referendum,electoral commission; referendum certification,SAME_EVENT,The certification is a direct continuation of the same referendum vote described in the first article.
P0114,P013-A,P015-A,POL_013,POL_015,Politics,medium,same_date_different_location,National Referendum on Constitutional Amendment Held,"Voters went to the polls Monday for a national referendum on a proposed constitutional amendment expanding judicial term limits, with turnout reported as unusually high.",Separate State Referendum on Ballot Measure Held Same Day,"In an unrelated vote held the same day, residents of a single state decided on a local ballot measure concerning school funding, separate from the national constitutional referendum.",2026-06-01,2026-06-01,National,State-level,constitutional referendum,state ballot measure,DIFFERENT_EVENT,Two votes held on the same date but at entirely different levels of government on unrelated questions.
P0115,P016-A,P016-B,POL_016,POL_016,Politics,hard,entity_normalization,Foreign Minister Cole Visits Cairo for Trade Talks,"Foreign Minister Aiden Cole arrived in Cairo Sunday for a two-day visit focused on expanding bilateral trade agreements, according to a statement from his office.",Top Diplomat Holds Trade Discussions in Egyptian Capital,"The country's top diplomat met with Egyptian officials this week to discuss trade cooperation, part of a broader push to strengthen economic ties across the region.",2026-02-01,2026-02-01,"Cairo, Egypt","Cairo, Egypt",Aiden Cole; Cairo; trade talks,top diplomat; Egyptian capital; trade,SAME_EVENT,The second article refers to Cole only as 'the country's top diplomat' but describes the same Cairo trade visit.
P0116,P016-A,P017-A,POL_016,POL_017,Politics,hard,same_person_different_event,Foreign Minister Cole Visits Cairo for Trade Talks,"Foreign Minister Aiden Cole arrived in Cairo Sunday for a two-day visit focused on expanding bilateral trade agreements, according to a statement from his office.",Cole Travels to Nairobi for Climate Talks,"Foreign Minister Aiden Cole traveled to Nairobi in April for a separate round of discussions focused on regional climate cooperation, unrelated to his earlier trade mission.",2026-02-01,2026-04-01,"Cairo, Egypt","Nairobi, Kenya",Aiden Cole; trade talks,Aiden Cole; climate talks,DIFFERENT_EVENT,"Same minister, but a trade visit to Cairo and a separate climate visit to Nairobi two months later are distinct diplomatic events."
P0117,P018-A,P019-A,POL_018,POL_019,Politics,hard,follow_up,Parliament Passes Minimum Wage Increase,"Lawmakers approved a bill Wednesday raising the national minimum wage by 12 percent over two years, a measure that passed after months of negotiation between coalition partners.",Business Groups React to New Minimum Wage Law,"Industry associations issued mixed reactions Friday to the newly passed minimum wage increase, with small business groups warning of higher costs while labor unions praised the move.",2026-07-01,2026-07-03,National,National,parliament; minimum wage increase,business groups; minimum wage reaction,SAME_EVENT,The reaction coverage is directly tied to the same minimum wage bill passed in the first article.
P0118,P018-A,P020-A,POL_018,POL_020,Politics,medium,same_topic_different_event,Parliament Passes Minimum Wage Increase,"Lawmakers approved a bill Wednesday raising the national minimum wage by 12 percent over two years, a measure that passed after months of negotiation between coalition partners.",Separate Debate Opens on Tax Reform Bill,"Lawmakers also began debating an unrelated tax reform bill this week, a proposal that has been under discussion separately from the minimum wage legislation.",2026-07-01,2026-07-02,National,National,parliament; minimum wage,parliament; tax reform,DIFFERENT_EVENT,"Both are parliamentary economic policy stories in the same week, but they concern entirely different bills."
P0119,P014-A,P015-A,POL_014,POL_015,Politics,very_hard,same_topic_different_event,Referendum Results Certified by Electoral Commission,"The electoral commission certified the results of Monday's referendum Friday, confirming the constitutional amendment passed with just over 54 percent support.",Separate State Referendum on Ballot Measure Held Same Day,"In an unrelated vote held the same day, residents of a single state decided on a local ballot measure concerning school funding, separate from the national constitutional referendum.",2026-06-05,2026-06-01,National,State-level,referendum certification,state ballot measure,DIFFERENT_EVENT,"Both concern votes held around the same period, but the certification concerns the national constitutional referendum while the second article is about an unrelated state-level ballot measure held the same day as the original vote."
P0120,P018-B,P018-A,POL_018,POL_018,Politics,medium,different_source,Lawmakers Approve Higher Minimum Wage,"A bill raising the national minimum wage by 12 percent over two years cleared parliament Wednesday, following months of negotiation between coalition partners over the exact phase-in schedule.",Parliament Passes Minimum Wage Increase,"Lawmakers approved a bill Wednesday raising the national minimum wage by 12 percent over two years, a measure that passed after months of negotiation between coalition partners.",2026-07-01,2026-07-01,National,National,parliament; minimum wage increase,parliament; minimum wage increase,SAME_EVENT,"Both articles describe the identical minimum wage bill passing parliament on the same date, reported with different emphasis and structure."
P0121,B011-A,B011-B,BIZ_011,BIZ_011,Business,easy,paraphrase,Velcorp Recalls Sedan Model Over Brake Defect,"Automaker Velcorp announced a recall Thursday of roughly 80,000 sedans after discovering a defect in the braking system that could increase stopping distances, the company said.",Velcorp Issues Recall for Braking Issue in Sedans,"Velcorp is recalling tens of thousands of its sedan model due to a brake defect, the company confirmed this week, urging owners to schedule inspections at authorized dealers.",2026-01-15,2026-01-15,"Detroit, USA","Detroit, USA",Velcorp; sedan recall,Velcorp; brake defect,SAME_EVENT,Both describe the same Velcorp sedan recall over the same braking defect.
P0122,B011-A,B012-A,BIZ_011,BIZ_012,Business,medium,follow_up,Velcorp Recalls Sedan Model Over Brake Defect,"Automaker Velcorp announced a recall Thursday of roughly 80,000 sedans after discovering a defect in the braking system that could increase stopping distances, the company said.",Velcorp Expands Recall to Include SUV Model,Velcorp said Sunday it is expanding its recent recall to include a related SUV model that shares the same braking component identified as defective in its sedans.,2026-01-15,2026-02-01,"Detroit, USA","Detroit, USA",Velcorp; sedan recall,Velcorp; SUV recall expansion,SAME_EVENT,The expanded recall is a direct continuation of the same defect and recall process described in the first article.
P0123,B011-A,B013-A,BIZ_011,BIZ_013,Business,easy,same_entity_different_event,Velcorp Recalls Sedan Model Over Brake Defect,"Automaker Velcorp announced a recall Thursday of roughly 80,000 sedans after discovering a defect in the braking system that could increase stopping distances, the company said.",Velcorp Announces New EV Factory,"Separately, Velcorp announced plans Sunday to build a new electric vehicle factory, an investment the company says will create over 2,000 jobs, unrelated to its recent recall.",2026-01-15,2026-03-01,"Detroit, USA","Detroit, USA",Velcorp; recall,Velcorp; EV factory,DIFFERENT_EVENT,"Same automaker, but a safety recall and an unrelated new factory announcement weeks later are separate events."
P0124,B014-A,B014-B,BIZ_014,BIZ_014,Business,medium,different_source,SkyBridge Announces New Route to Singapore,"Airline SkyBridge unveiled a new nonstop route connecting its hub city to Singapore Wednesday, with flights set to begin in the fall.",SkyBridge to Launch Direct Singapore Service,"SkyBridge said this week it will begin direct flights to Singapore later this year, expanding its presence in Southeast Asia.",2026-04-01,2026-04-01,Undisclosed,Undisclosed,SkyBridge; Singapore route,SkyBridge; Singapore service,SAME_EVENT,Both describe the identical newly announced SkyBridge route to Singapore.
P0125,B014-A,B015-A,BIZ_014,BIZ_015,Business,medium,same_topic_different_event,SkyBridge Announces New Route to Singapore,"Airline SkyBridge unveiled a new nonstop route connecting its hub city to Singapore Wednesday, with flights set to begin in the fall.",JetLoop Announces Competing Singapore Route,"Rival carrier JetLoop announced its own new route to Singapore Friday, entering a market recently targeted by a competitor with a similar service announced days earlier.",2026-04-01,2026-04-10,Undisclosed,Undisclosed,SkyBridge; Singapore route,JetLoop; Singapore route,DIFFERENT_EVENT,"Both are new airline routes to Singapore announced the same month, but by two separate, competing airlines."
P0126,B016-A,B017-A,BIZ_016,BIZ_016,Business,medium,breaking_update,"Renix Announces Layoffs Affecting 1,200 Workers","Tech firm Renix said Friday it is cutting 1,200 jobs, roughly 15 percent of its workforce, as part of a broader cost-cutting effort amid slowing sales.",Renix Stock Falls Following Layoff Announcement,Shares of Renix dropped 8 percent Monday after investors reacted to the company's announcement last week that it would cut over a thousand jobs.,2026-05-01,2026-05-04,"San Jose, USA","San Jose, USA",Renix; layoffs,Renix; stock drop,SAME_EVENT,The stock reaction is directly tied to the same layoff announcement described in the first article.
P0127,B016-A,B018-A,BIZ_016,BIZ_018,Business,hard,different_incident,"Renix Announces Layoffs Affecting 1,200 Workers","Tech firm Renix said Friday it is cutting 1,200 jobs, roughly 15 percent of its workforce, as part of a broader cost-cutting effort amid slowing sales.",Brightline Also Announces Layoffs Same Week,"In an unrelated move, San Jose-based Brightline confirmed Tuesday it is laying off 400 employees, a decision separate from other tech job cuts announced in the region this week.",2026-05-01,2026-05-03,"San Jose, USA","San Jose, USA",Renix; layoffs,Brightline; layoffs,DIFFERENT_EVENT,"Same city and same type of news within days, but two unrelated companies conducting separate layoffs."
P0128,B019-A,B019-B,BIZ_019,BIZ_019,Business,hard,different_detail_level,BrewHaus Opens 500th Store,"Coffee chain BrewHaus celebrated the opening of its 500th location Monday, a milestone the company says reflects steady growth since its founding a decade ago.",Milestone for BrewHaus as Chain Reaches 500 Locations,"BrewHaus marked a significant milestone this week, opening its 500th store in a ceremony attended by company founders. The chain, which started as a single shop, has expanded at a rate of roughly 50 new locations per year over the past decade, executives said, crediting a loyalty app and consistent store design for helping it stand out in a crowded market. The company also confirmed plans to expand into three new international markets next year, with the first overseas locations expected to open by the second quarter.",2026-06-01,2026-06-02,Undisclosed,Undisclosed,BrewHaus; 500th store,BrewHaus; expansion milestone,SAME_EVENT,The second article provides much richer detail about the same 500th-store milestone briefly reported in the first.
P0129,B019-A,B020-A,BIZ_019,BIZ_020,Business,hard,same_entities_different_date,BrewHaus Opens 500th Store,"Coffee chain BrewHaus celebrated the opening of its 500th location Monday, a milestone the company says reflects steady growth since its founding a decade ago.",BrewHaus Opens 600th Store Months Later,"BrewHaus reached another milestone in November, opening its 600th location as the chain continues its rapid expansion pace from earlier in the year.",2026-06-01,2026-11-01,Undisclosed,Undisclosed,BrewHaus; 500th store,BrewHaus; 600th store,DIFFERENT_EVENT,"Same chain and nearly identical framing, but the two milestones are separate store openings months apart."
P0130,B012-A,B013-A,BIZ_012,BIZ_013,Business,very_hard,same_entity_different_event,Velcorp Expands Recall to Include SUV Model,Velcorp said Sunday it is expanding its recent recall to include a related SUV model that shares the same braking component identified as defective in its sedans.,Velcorp Announces New EV Factory,"Separately, Velcorp announced plans Sunday to build a new electric vehicle factory, an investment the company says will create over 2,000 jobs, unrelated to its recent recall.",2026-02-01,2026-03-01,"Detroit, USA","Detroit, USA",Velcorp; SUV recall expansion,Velcorp; EV factory,DIFFERENT_EVENT,"Both are Velcorp corporate news items within weeks of each other, but the recall expansion and the unrelated new factory announcement are separate events."
P0131,SP012-A,SP012-B,SPORT_012,SPORT_012,Sports,easy,paraphrase,Theo Wren Wins Mountain Stage of Grand Tour,"Cyclist Theo Wren won the grueling mountain stage of the Grand Tour Friday, surging ahead on the final climb in the Alps to take the stage by 40 seconds.",Wren Powers to Alpine Stage Victory,"Theo Wren claimed victory on the Grand Tour's toughest mountain stage this week, breaking away from the peloton on the final ascent to win by a comfortable margin in the Alps.",2026-07-10,2026-07-10,French Alps,French Alps,Theo Wren; Grand Tour mountain stage,Theo Wren; Grand Tour,SAME_EVENT,Both describe the same Alpine mountain stage victory by Wren on the same date.
P0132,SP012-A,SP013-A,SPORT_012,SPORT_013,Sports,hard,follow_up,Theo Wren Wins Mountain Stage of Grand Tour,"Cyclist Theo Wren won the grueling mountain stage of the Grand Tour Friday, surging ahead on the final climb in the Alps to take the stage by 40 seconds.",Wren Wins Overall Grand Tour Title,"Theo Wren secured the overall Grand Tour title Sunday, finishing the three-week race with a comfortable lead built partly on his mountain stage win earlier in the event.",2026-07-10,2026-07-20,French Alps,"Paris, France",Theo Wren; mountain stage,Theo Wren; overall Grand Tour title,SAME_EVENT,"The overall title win is the culmination of the same Grand Tour race in which the earlier stage victory occurred, forming one broader event."
P0133,SP012-A,SP014-A,SPORT_012,SPORT_014,Sports,medium,different_incident,Theo Wren Wins Mountain Stage of Grand Tour,"Cyclist Theo Wren won the grueling mountain stage of the Grand Tour Friday, surging ahead on the final climb in the Alps to take the stage by 40 seconds.",Different Rider Wins Separate Grand Tour Stage,"Another cyclist took the win in a separate flat stage of the Grand Tour on Sunday, two days after Wren's mountain stage victory, in a bunch sprint finish.",2026-07-10,2026-07-12,French Alps,French countryside,Theo Wren; mountain stage,different rider; flat stage,DIFFERENT_EVENT,"Same race and overlapping timeframe, but these are two separate individual stage victories won by different riders."
P0134,SP015-A,SP015-B,SPORT_015,SPORT_015,Sports,medium,different_source,Nadia Cruz Wins World Title Bout,"Boxer Nadia Cruz won the world title Saturday night in Las Vegas, defeating the defending champion by unanimous decision in a closely fought bout.",Cruz Claims Championship Belt in Vegas Thriller,Nadia Cruz became the new world champion Saturday after outpointing the reigning titleholder over twelve rounds in a bout that had fans on their feet in Las Vegas.,2026-08-01,2026-08-01,"Las Vegas, USA","Las Vegas, USA",Nadia Cruz; world title bout,Nadia Cruz; championship,SAME_EVENT,Both describe the same Cruz title win by the same result on the same night.
P0135,SP015-A,SP016-A,SPORT_015,SPORT_016,Sports,hard,same_entities_different_date,Nadia Cruz Wins World Title Bout,"Boxer Nadia Cruz won the world title Saturday night in Las Vegas, defeating the defending champion by unanimous decision in a closely fought bout.",Cruz Announces Title Defense a Year Later,"Nadia Cruz announced her first title defense fight Sunday, set to take place a year after she originally won the championship belt.",2026-08-01,2027-08-01,"Las Vegas, USA",Undisclosed,Nadia Cruz; world title win,Nadia Cruz; title defense,DIFFERENT_EVENT,"Same boxer and same championship, but winning the title and announcing a defense fight a year later are separate events."
P0136,SP017-A,SP018-A,SPORT_017,SPORT_018,Sports,medium,follow_up,Solmark Hires New Manager,"Football club Solmark announced Monday it has hired a new head coach on a three-year deal, ending a lengthy managerial search following last season's disappointing finish.",New Solmark Manager Wins First Match,"Solmark's newly appointed manager oversaw his first match in charge Sunday, guiding the club to a 2-0 win in his managerial debut.",2026-01-05,2026-01-12,Undisclosed,Undisclosed,Solmark; new manager hire,Solmark; manager's first match,SAME_EVENT,The debut match is a direct continuation of the same managerial hire described in the first article.
P0137,SP017-A,SP019-A,SPORT_017,SPORT_019,Sports,easy,different_incident,Solmark Hires New Manager,"Football club Solmark announced Monday it has hired a new head coach on a three-year deal, ending a lengthy managerial search following last season's disappointing finish.",Rival Club Vantage Also Hires New Manager,"In an unrelated move, Vantage announced its own new head coach hire Tuesday, a decision separate from other managerial changes across the league this week.",2026-01-05,2026-01-06,Undisclosed,Undisclosed,Solmark; new manager,Vantage; new manager,DIFFERENT_EVENT,Two different football clubs making separate managerial hires within a day of each other.
P0138,SP020-A,SP020-B,SPORT_020,SPORT_020,Sports,medium,different_source,Swim Championships Open With Multiple Records Broken,"The national swim championships kicked off in Melbourne Friday, with three national records falling on the opening day of competition.",Records Tumble on Opening Day of Swim Championships,"Melbourne's swim championships got off to a record-breaking start Friday, as swimmers posted three new national marks across separate events on day one.",2026-05-01,2026-05-01,"Melbourne, Australia","Melbourne, Australia",swim championships; records,swim championships; records,SAME_EVENT,Both cover the same opening day of the Melbourne swim championships and the same three records.
P0139,SP013-A,SP014-A,SPORT_013,SPORT_014,Sports,hard,different_incident,Wren Wins Overall Grand Tour Title,"Theo Wren secured the overall Grand Tour title Sunday, finishing the three-week race with a comfortable lead built partly on his mountain stage win earlier in the event.",Different Rider Wins Separate Grand Tour Stage,"Another cyclist took the win in a separate flat stage of the Grand Tour on Sunday, two days after Wren's mountain stage victory, in a bunch sprint finish.",2026-07-20,2026-07-12,"Paris, France",French countryside,Theo Wren; overall title,different rider; flat stage,DIFFERENT_EVENT,"Both concern the same Grand Tour race, but the overall title win by Wren and a separate flat-stage win by another rider days earlier are different sub-events within the tour."
P0140,SP018-A,SP019-A,SPORT_018,SPORT_019,Sports,very_hard,different_incident,New Solmark Manager Wins First Match,"Solmark's newly appointed manager oversaw his first match in charge Sunday, guiding the club to a 2-0 win in his managerial debut.",Rival Club Vantage Also Hires New Manager,"In an unrelated move, Vantage announced its own new head coach hire Tuesday, a decision separate from other managerial changes across the league this week.",2026-01-12,2026-01-06,Undisclosed,Undisclosed,Solmark; manager's first match,Vantage; new manager,DIFFERENT_EVENT,"Both are managerial-change stories involving football clubs in the same week, but Solmark's coaching debut and Vantage's separate hire concern two entirely different clubs."
P0141,SC011-A,SC011-B,SCI_011,SCI_011,Science,easy,paraphrase,Physicists Detect Signal of Possible New Particle,"Researchers at a Geneva particle collider reported detecting an unusual signal Sunday that could indicate a previously unobserved subatomic particle, though they cautioned further analysis was needed to confirm the finding.",Collider Data Hints at Undiscovered Particle,"Scientists working at the Geneva collider said this week that recent data shows an anomaly consistent with a new particle, though the result falls short of the statistical threshold typically required for a confirmed discovery.",2026-02-01,2026-02-01,"Geneva, Switzerland","Geneva, Switzerland",Geneva collider; particle signal,Geneva collider; particle anomaly,SAME_EVENT,Both describe the same preliminary particle signal detected at the Geneva collider around the same date.
P0142,SC011-A,SC012-A,SCI_011,SCI_012,Science,hard,follow_up,Physicists Detect Signal of Possible New Particle,"Researchers at a Geneva particle collider reported detecting an unusual signal Sunday that could indicate a previously unobserved subatomic particle, though they cautioned further analysis was needed to confirm the finding.",Physicists Confirm New Particle Discovery,"After months of additional analysis, researchers confirmed Saturday that the signal detected earlier this year does represent a genuine new particle, clearing the statistical bar required for discovery.",2026-02-01,2026-08-01,"Geneva, Switzerland","Geneva, Switzerland",Geneva collider; particle signal,Geneva collider; confirmed discovery,SAME_EVENT,The confirmation is a direct continuation of the same particle signal first reported months earlier.
P0143,SC011-A,SC013-A,SCI_011,SCI_013,Science,medium,same_topic_different_event,Physicists Detect Signal of Possible New Particle,"Researchers at a Geneva particle collider reported detecting an unusual signal Sunday that could indicate a previously unobserved subatomic particle, though they cautioned further analysis was needed to confirm the finding.",Separate Collider Experiment Reports Different Anomaly,"A different research team at the same facility reported an unrelated anomaly Sunday in a separate detector, involving a distinct energy range from the earlier particle signal.",2026-02-01,2026-03-01,"Geneva, Switzerland","Geneva, Switzerland",Geneva collider; particle signal,Geneva collider; separate anomaly,DIFFERENT_EVENT,"Same facility and similar physics topic, but two unrelated anomalies detected by different teams in different detectors."
P0144,SC014-A,SC014-B,SCI_014,SCI_014,Science,medium,different_source,Marine Biologists Discover New Deep-Sea Species,"Researchers exploring the Pacific Ocean floor announced Wednesday the discovery of a new deep-sea species, an eyeless fish found at a depth of over 6,000 meters.",New Deep-Ocean Fish Species Found in Pacific,"A previously unknown species of fish was identified this week by scientists studying the deep Pacific, found thriving at extreme depths where sunlight never reaches.",2026-04-01,2026-04-01,Pacific Ocean,Pacific Ocean,deep-sea species; Pacific Ocean,deep-sea fish; Pacific,SAME_EVENT,Both describe the same newly discovered deep-sea species found at the same depth in the Pacific.
P0145,SC014-A,SC016-A,SCI_014,SCI_016,Science,hard,different_incident,Marine Biologists Discover New Deep-Sea Species,"Researchers exploring the Pacific Ocean floor announced Wednesday the discovery of a new deep-sea species, an eyeless fish found at a depth of over 6,000 meters.",Different Expedition Finds Separate New Species,"A separate research expedition in the same ocean reported finding an entirely different new species of deep-sea crustacean two weeks later, unrelated to the earlier fish discovery.",2026-04-01,2026-04-15,Pacific Ocean,Pacific Ocean,deep-sea fish species,deep-sea crustacean species,DIFFERENT_EVENT,"Same ocean and similar type of discovery, but two separate expeditions finding two different new species weeks apart."
P0146,SC017-A,SC018-A,SCI_017,SCI_018,Science,medium,follow_up,Study Finds Gene Therapy Shows Promise for Rare Disease,"A newly published study found that an experimental gene therapy significantly improved symptoms in patients with a rare genetic disorder, researchers reported Saturday.",Gene Therapy Enters Phase 2 Trials,"The experimental gene therapy that showed early promise earlier this year has advanced to phase 2 clinical trials, researchers announced Wednesday, expanding the study to a larger group of patients.",2026-01-10,2026-07-01,Undisclosed,Undisclosed,gene therapy; rare disease study,gene therapy; phase 2 trials,SAME_EVENT,The phase 2 trial launch is a direct continuation of the same gene therapy research described in the first article.
