"pair_id","article_a_id","article_b_id","event_a_id","event_b_id","category","difficulty","relationship_type","article_a_title","article_a_text","article_b_title","article_b_text","date_a","date_b","location_a","location_b","entities_a","entities_b","ground_truth","reason"
"P0911","P200-A","P200-B","POL_200","POL_200","Politics","easy","paraphrase","Marnholt Parliament Approves Flood Defence Funding Bill","Marnholt's parliament approved a flood defence funding bill on Wednesday by 102 votes to 44, releasing money for upgrades along three river systems identified as highest risk. The measure had cross-party backing after last year's flooding. Work is due to begin in the new fiscal year.","Flood Defence Bill Clears Marnholt Parliament","Lawmakers in Marnholt passed a bill releasing funds for flood defence upgrades on three river systems, with the vote passing 102 to 44 on Wednesday. Support crossed party lines following flooding the previous year. Construction is set to start in the next fiscal year.","2027-02-17","2027-02-17","Marnholt City, Marnholt","Marnholt City, Marnholt","Marnholt parliament; flood defence bill","Marnholt lawmakers; flood defence funding","SAME_EVENT","Same vote on the same bill on the same day, reworded."
"P0912","P200-A","P201-A","POL_200","POL_201","Politics","hard","same_entity_different_event","Marnholt Parliament Approves Flood Defence Funding Bill","Marnholt's parliament approved a flood defence funding bill on Wednesday by 102 votes to 44, releasing money for upgrades along three river systems identified as highest risk. The measure had cross-party backing after last year's flooding. Work is due to begin in the new fiscal year.","Marnholt Parliament Rejects Judicial Appointments Bill","Marnholt's parliament rejected a bill that would have changed how senior judges are appointed, with the government's own backbenchers contributing to the defeat by a margin of six votes. The justice minister said a revised version would be brought forward after further consultation with the judiciary, which had raised concerns about independence safeguards in the original text. Opposition parties called the process rushed, noting that the bill had been introduced only three weeks before the vote without the customary committee review. Several backbenchers who voted against said they supported reform in principle but objected to specific transitional provisions. The defeat is seen as a setback for the government's broader legislative programme this session.","2027-02-17","2027-05-09","Marnholt City, Marnholt","Marnholt City, Marnholt","Marnholt parliament; flood defence bill","Marnholt parliament; judicial appointments bill","DIFFERENT_EVENT","Same parliament voting on unrelated bills months apart, with opposite outcomes."
"P0913","P202-A","P202-B","POL_202","POL_202","Politics","easy","different_source","Kessler Wins Riverton Mayoral Race","Talia Kessler won the Riverton mayoral election with 47 percent of the vote in a four-way race, results showed Tuesday night. Her nearest rival conceded shortly after midnight. Kessler will be sworn in next month.","Four-Way Riverton Mayoral Contest Won by Kessler","Riverton's mayoral race went to Talia Kessler, who took 47 percent against three other candidates, according to results released Tuesday night. The runner-up conceded before 1am. The inauguration is scheduled for next month.","2027-11-03","2027-11-03","Riverton, USA","Riverton, USA","Talia Kessler; Riverton mayoral election","Talia Kessler; Riverton mayoral race","SAME_EVENT","Same election result on the same night, different phrasing and structure."
"P0914","P202-A","P203-A","POL_202","POL_203","Politics","very_hard","same_entities_different_date","Kessler Wins Riverton Mayoral Race","Talia Kessler won the Riverton mayoral election with 47 percent of the vote in a four-way race, results showed Tuesday night. Her nearest rival conceded shortly after midnight. Kessler will be sworn in next month.","Kessler Wins Re-election as Riverton Mayor","Talia Kessler was re-elected mayor of Riverton, winning 53 percent of the vote against two challengers, results showed late Tuesday. Her closest rival conceded before midnight this time. Kessler said the result reflected support for her infrastructure programme.","2027-11-03","2031-11-05","Riverton, USA","Riverton, USA","Talia Kessler; Riverton mayoral election","Talia Kessler; Riverton mayoral re-election","DIFFERENT_EVENT","Same person, office and city with closely parallel phrasing, but two separate elections four years apart."
"P0915","P204-A","P204-B","POL_204","POL_204","Politics","medium","breaking_update","Coalition Talks Begin in Corvane","Party leaders in Corvane began coalition negotiations on Monday following an inconclusive election, with three parties represented at the table. No timeline was given for reaching an agreement.","Corvane's Three Largest Parties Start Coalition Talks","Corvane's coalition negotiations opened Monday among the three parties that won the most seats in last month's election, officials confirmed. Talks are expected to focus first on fiscal policy, where the parties hold differing positions. No deadline has been set.","2027-06-07","2027-06-07","Corvane City, Corvane","Corvane City, Corvane","Corvane; coalition talks; party leaders","Corvane; coalition negotiations; three parties","SAME_EVENT","Initial report and a same-day update with more detail on the identical start of coalition talks."
"P0916","P204-A","P205-A","POL_204","POL_205","Politics","hard","follow_up","Coalition Talks Begin in Corvane","Party leaders in Corvane began coalition negotiations on Monday following an inconclusive election, with three parties represented at the table. No timeline was given for reaching an agreement.","Corvane Coalition Talks Collapse After Six Weeks","Coalition negotiations in Estveria broke down after six weeks, officials said, with the smallest party citing unresolved differences on fiscal policy as the immediate cause, though negotiators from other parties pointed to disagreements over ministerial portfolios that had simmered for most of the talks. A caretaker government will continue while parties consider next steps, and the constitution requires that a path forward be decided within a further ninety days. No date has been set for a possible new election, though officials from two parties said informally that they expected one to be called if talks could not resume within a month. Business groups expressed concern about the effect of prolonged uncertainty on investment decisions, and the currency weakened slightly against regional peers following the announcement.","2027-06-07","2027-07-19","Corvane City, Corvane","Corvane City, Corvane","Corvane; coalition talks; party leaders","Corvane; coalition talks collapse; caretaker government","DIFFERENT_EVENT","The talks opening and their later collapse are separate news events six weeks apart, not the same occurrence."
"P0917","P206-A","P206-B","POL_206","POL_206","Politics","hard","different_style","Senate Committee Advances Housing Bill","A Senate committee voted 9 to 6 on Thursday to advance a housing bill that would expand tax credits for affordable rental construction. The bill now goes to the full chamber. Two moderate senators who had expressed reservations ultimately voted in favour.","Why the Housing Bill Cleared Committee After All","The 9-6 vote that sent the housing bill to the floor on Thursday came down to two senators who had spent weeks signalling doubt about the cost of the tax credits, and who both switched to yes after a late amendment capped the programme's duration at five years. That concession, more than any argument about need, is what moved the numbers. The bill's path in the full chamber remains far less certain.","2027-09-22","2027-09-22","Washington, USA","Washington, USA","Senate committee; housing bill; tax credits","Senate committee; housing bill; amendment","SAME_EVENT","News report and analysis of the identical committee vote on the same day."
"P0918","P206-A","P207-A","POL_206","POL_207","Politics","medium","same_topic_different_event","Senate Committee Advances Housing Bill","A Senate committee voted 9 to 6 on Thursday to advance a housing bill that would expand tax credits for affordable rental construction. The bill now goes to the full chamber. Two moderate senators who had expressed reservations ultimately voted in favour.","Separate Committee Rejects Zoning Reform Measure","A different Senate committee voted down a zoning reform measure on Tuesday, with several members saying the bill overstepped into local authority that should remain with municipal governments. The vote was 7 to 8, closer than sponsors had expected going into the session, and two senators who had previously indicated support switched their votes after amendments narrowing the bill's scope were rejected on the floor. Sponsors said they would seek to attach the provisions to another bill moving through the chamber, a strategy that opponents said undermines the committee process. Housing advocates who had backed the measure expressed frustration, while municipal associations welcomed the outcome as a preservation of local control over land use decisions.","2027-09-22","2027-10-19","Washington, USA","Washington, USA","Senate committee; housing bill; tax credits","Senate committee; zoning reform; rejection","DIFFERENT_EVENT","Different committees voting on different housing-adjacent bills weeks apart, with opposite outcomes."
"P0919","P208-A","P208-B","POL_208","POL_208","Politics","easy","paraphrase","Referendum Sets Minimum Wage Increase in Belmara","Voters in Belmara approved a referendum raising the minimum wage by 15 percent over two years, with 58 percent in favour on a turnout of 52 percent. The increase takes effect in stages starting in January. Business groups had opposed the measure.","Belmara Voters Back Minimum Wage Rise","A referendum in Belmara passed with 58 percent support, setting a 15 percent minimum wage increase to be phased in over two years starting in January. Turnout reached 52 percent. Business associations had campaigned against the proposal.","2027-05-16","2027-05-16","Belmara City, Belmara","Belmara City, Belmara","Belmara; minimum wage referendum; business groups","Belmara; minimum wage increase; business associations","SAME_EVENT","Same referendum result on the same day, reworded throughout."
"P0920","P208-A","P209-A","POL_208","POL_209","Politics","medium","same_entity_different_event","Referendum Sets Minimum Wage Increase in Belmara","Voters in Belmara approved a referendum raising the minimum wage by 15 percent over two years, with 58 percent in favour on a turnout of 52 percent. The increase takes effect in stages starting in January. Business groups had opposed the measure.","Belmara Assembly Debates Overtime Rule Changes","Belmara's Federal Assembly began debate on a bill that would change how overtime is calculated for shift workers, with unions and employer groups submitting competing proposals. A vote is not expected before the next session. The debate follows separately from the minimum wage question.","2027-05-16","2027-09-03","Belmara City, Belmara","Belmara City, Belmara","Belmara; minimum wage referendum","Belmara Federal Assembly; overtime rule changes","DIFFERENT_EVENT","Same country and legislature context, but a referendum result and a later separate bill debate are different events months apart."
"P0921","B200-A","B200-B","BIZ_200","BIZ_200","Business","easy","paraphrase","Thornfield Group to Acquire Wexler Logistics for 780 Million","Thornfield Group agreed to buy Wexler Logistics for 780 million in a cash-and-stock deal, the companies said Monday, adding regional trucking capacity to Thornfield's freight network. The deal is expected to close in the second quarter. Wexler's founder will join Thornfield's board.","Wexler Logistics Deal Values Firm at 780 Million","Thornfield Group has struck a deal to buy Wexler Logistics for 780 million, combining cash and stock, according to a Monday announcement expanding Thornfield's trucking reach. Closing is targeted for the second quarter. Wexler's founder is set to take a board seat at the combined company.","2027-01-11","2027-01-11","Memphis, USA","Memphis, USA","Thornfield Group; Wexler Logistics; acquisition","Thornfield Group; Wexler Logistics; deal","SAME_EVENT","Same acquisition announcement on the same day, differently worded."
"P0922","B200-A","B201-A","BIZ_200","BIZ_201","Business","hard","follow_up","Thornfield Group to Acquire Wexler Logistics for 780 Million","Thornfield Group agreed to buy Wexler Logistics for 780 million in a cash-and-stock deal, the companies said Monday, adding regional trucking capacity to Thornfield's freight network. The deal is expected to close in the second quarter. Wexler's founder will join Thornfield's board.","Regulators Clear Thornfield-Wexler Deal","Antitrust regulators cleared Thornfield Group's purchase of Wexler Logistics without conditions, the agency said, finding limited route overlap between the two carriers after reviewing data on service areas across both companies' networks. The companies said the deal would close within weeks, having originally targeted the second quarter but moved up the timeline once clearance came through faster than expected. Thornfield shares rose slightly on the news, while analysts said the swift, unconditional clearance reflected the fragmented nature of regional trucking markets rather than any particular leniency. Wexler's founder, who is set to join Thornfield's board, said the review process had been more straightforward than anticipated given the size of the transaction.","2027-01-11","2027-04-02","Memphis, USA","Washington, USA","Thornfield Group; Wexler Logistics; acquisition","antitrust regulators; Thornfield-Wexler deal; clearance","DIFFERENT_EVENT","The regulatory clearance is a separate, later decision by a different body regarding the same transaction, not the original announcement."
"P0923","B202-A","B202-B","BIZ_202","BIZ_202","Business","medium","different_source","Halvorsen Retail Reports Strong Holiday Sales","Halvorsen Retail said comparable sales rose 6.2 percent over the holiday period, beating analyst expectations, with online orders up sharply. The company raised its full-year profit outlook. Shares gained in early trading.","Holiday Results Beat Forecasts at Halvorsen","Halvorsen Retail posted holiday comparable sales growth of 6.2 percent, ahead of what analysts had projected, driven partly by a jump in online orders. The retailer lifted its full-year guidance. The stock moved higher after the announcement.","2027-01-14","2027-01-14","Minneapolis, USA","Minneapolis, USA","Halvorsen Retail; holiday sales; profit outlook","Halvorsen Retail; holiday results; guidance","SAME_EVENT","Same results release on the same day, told from two different outlets with no shared sentences."
"P0924","B202-A","B203-A","BIZ_202","BIZ_203","Business","hard","same_entity_different_event","Halvorsen Retail Reports Strong Holiday Sales","Halvorsen Retail said comparable sales rose 6.2 percent over the holiday period, beating analyst expectations, with online orders up sharply. The company raised its full-year profit outlook. Shares gained in early trading.","Halvorsen Announces 40 New Store Openings","Halvorsen Retail said it would open 40 new stores over the next two years, concentrated in mid-sized towns where it currently has limited presence. The expansion follows the strong holiday period. Hiring for the first wave of stores begins in the spring.","2027-01-14","2027-03-11","Minneapolis, USA","Minneapolis, USA","Halvorsen Retail; holiday sales","Halvorsen Retail; store expansion","DIFFERENT_EVENT","Same retailer, but the holiday results and a later expansion announcement are separate corporate events two months apart."
"P0925","B204-A","B212-A","BIZ_204","BIZ_212","Business","medium","follow_up","Coral Ridge Bank Placed Under Regulatory Watch","Regulators placed Coral Ridge Bank under enhanced supervision on Wednesday following concerns about loan loss reserves, the agency said. The bank said operations continue normally.","Coral Ridge Bank Names New Chief Risk Officer","Coral Ridge Bank appointed a new chief risk officer on Friday, three weeks after regulators placed the bank under enhanced supervision, the bank said. The appointee previously worked at a larger regional lender. The bank said the hire was planned before the supervisory action began.","2027-07-28","2027-08-18","Charleston, USA","Charleston, USA","Coral Ridge Bank; regulatory supervision","Coral Ridge Bank; chief risk officer; appointment","DIFFERENT_EVENT","The regulatory supervision announcement and the later executive appointment are separate events three weeks apart, even though both concern the same bank during the same period of scrutiny."
"P0926","B205-A","B205-B","BIZ_205","BIZ_205","Business","very_hard","entity_normalization","Antitrust Body Blocks Merger of Grocery Chains Fenmark and Coldwell","The antitrust authority blocked the proposed merger of grocery chains Fenmark and Coldwell on Tuesday, citing reduced competition in dozens of overlapping local markets. Both companies said they were reviewing options, including an appeal.","Regulator Stops Grocery Chain Combination","A competition regulator halted the planned combination of two grocery chains, finding the deal would have reduced choice for shoppers in numerous local markets where both operate. The companies indicated they were considering their next steps, including a possible appeal.","2027-03-19","2027-03-19","Toronto, Canada","Toronto, Canada","antitrust authority; Fenmark; Coldwell; merger block","competition regulator; grocery chains; merger block","SAME_EVENT","Same blocking decision on the same day, with the companies and regulator named formally in one article and described generically in the other."
"P0927","B206-A","B206-B","BIZ_206","BIZ_206","Business","medium","different_detail_level","Pellhaven Motors Recalls 90,000 Vehicles Over Brake Issue","Pellhaven Motors is recalling about 90,000 vehicles due to a brake booster fault that can increase stopping distance.","Brake Booster Fault Triggers 90,000-Vehicle Pellhaven Recall","Pellhaven Motors said it is recalling roughly 90,000 vehicles from two model years after finding that a brake booster component can degrade over time, increasing stopping distance under hard braking. The company said the issue was identified through warranty claims rather than a reported crash, though it acknowledged that the degradation pattern could plausibly lead to an accident if left unaddressed for an extended period. Dealers will replace the affected part at no cost, with the process taking about two hours per vehicle, and Pellhaven said it had secured sufficient replacement parts to avoid the extended delays that affected a similar recall by a competitor last year. Owners will be notified by mail beginning next week, and Pellhaven said parts availability could extend service times in some regions, particularly rural areas served by smaller dealerships with limited service bay capacity. The National Highway Traffic Safety Administration said it would monitor complaint data closely given the safety-critical nature of the component involved, though it had not independently opened an investigation prior to Pellhaven's voluntary recall announcement.","2027-05-06","2027-05-06","Detroit, USA","Detroit, USA","Pellhaven Motors; brake recall","Pellhaven Motors; brake booster fault; recall","SAME_EVENT","A brief item and a detailed report on the identical recall announced the same day."
"P0928","B207-A","B207-B","BIZ_207","BIZ_207","Business","very_hard","different_style","Investors Cool on Renix Software After Guidance Cut","Renix Software shares fell 17 percent Thursday after the company cut full-year revenue guidance, citing longer sales cycles for its largest product. Management said the pipeline remained intact but conversion had slowed.","The Number That Mattered in Renix's Guidance Cut","Renix Software's stock lost 17 percent on Thursday, and the detail investors focused on wasn't the guidance cut itself but the phrase 'longer sales cycles,' which analysts read as early evidence that a broader slowdown in enterprise software spending has reached the company's core product. Management's insistence that the pipeline is intact did little to steady the shares. The next quarter's bookings figure will likely settle the argument either way.","2027-09-16","2027-09-16","Austin, USA","Austin, USA","Renix Software; guidance cut; share drop","Renix Software; guidance cut; analysts","SAME_EVENT","Market report and commentary on the identical guidance cut and share reaction on the same day."
"P0929","B208-A","B213-A","BIZ_208","BIZ_213","Business","medium","same_entity_different_event","Quennel Foods Raises Prices on Snack Line","Quennel Foods said it would raise prices on its snack division by an average of 5 percent starting next month, citing higher cocoa and packaging costs. The company said volumes had held up despite two previous rounds of increases.","Quennel Foods Reports Quarterly Earnings Above Forecast","Quennel Foods posted quarterly earnings ahead of analyst expectations, the company said, with the snack division cited as the strongest performer. Management pointed to disciplined cost control as the main driver. Shares rose modestly following the announcement.","2027-02-22","2027-05-19","Zurich, Switzerland","Zurich, Switzerland","Quennel Foods; price increase; snack division","Quennel Foods; quarterly earnings; snack division","DIFFERENT_EVENT","Same company mentioned in both, but a price-increase announcement and a separate quarterly earnings release three months later are unrelated corporate events."
"P0930","B208-A","B209-A","BIZ_208","BIZ_209","Business","hard","same_topic_different_event","Quennel Foods Raises Prices on Snack Line","Quennel Foods said it would raise prices on its snack division by an average of 5 percent starting next month, citing higher cocoa and packaging costs. The company said volumes had held up despite two previous rounds of increases.","Rival Snack Maker Holds Prices Steady","A competing snack manufacturer said it would not raise prices this year despite facing similar cost pressures from cocoa and packaging, hoping to gain market share from rivals that have increased prices multiple times. The company said it would absorb higher costs through efficiency measures instead, including consolidating two production lines and renegotiating supplier contracts that come up for renewal this quarter. Analysts questioned whether the strategy was sustainable given margin pressure reported across the sector, with one noting that the company's own cost base had risen at a similar rate to competitors who had already raised prices. The manufacturer's chief executive said the approach reflected a longer-term bet on volume growth rather than near-term margin protection.","2027-02-22","2027-03-05","Zurich, Switzerland","Brussels, Belgium","Quennel Foods; price increase; snack division","competing snack manufacturer; pricing strategy","DIFFERENT_EVENT","Different companies making opposite pricing decisions in the same sector days apart."
"P0931","SP200-A","SP200-B","SPORT_200","SPORT_200","Sports","easy","paraphrase","Marrowfield United Wins League Title","Marrowfield United clinched the league title on Sunday with a 3-0 win, finishing four points clear of their nearest rival. It is the club's first title in eleven years. Captain Milo Andrade lifted the trophy after the match.","United Seal Title With 3-0 Win","A 3-0 victory on Sunday secured the league title for Marrowfield United, who finished four points ahead of the second-placed side. The win ends an eleven-year wait for the club. Captain Milo Andrade received the trophy on the pitch.","2027-05-15","2027-05-15","Marrowfield, UK","Marrowfield, UK","Marrowfield United; league title; Milo Andrade","Marrowfield United; league title; Milo Andrade","SAME_EVENT","Same title-winning match on the same date, reworded."
"P0932","SP200-A","SP201-A","SPORT_200","SPORT_201","Sports","hard","same_entity_different_event","Marrowfield United Wins League Title","Marrowfield United clinched the league title on Sunday with a 3-0 win, finishing four points clear of their nearest rival. It is the club's first title in eleven years. Captain Milo Andrade lifted the trophy after the match.","Marrowfield United Sign Winger From Rival Club","Marrowfield United have signed winger Dev Okafor from a league rival on a three-year deal, the club's first major purchase of the close season. Okafor scored nine goals last season and was reportedly a target for two other clubs before agreeing to join the newly crowned champions. The transfer fee was not disclosed, though reports suggested a figure in the region of 14 million including add-ons tied to appearances. Marrowfield's manager said the signing addressed a specific need for pace on the flanks that had been identified during the title-winning campaign. Okafor is expected to be available for the club's pre-season tour, with a formal unveiling planned for the following week.","2027-05-15","2027-07-08","Marrowfield, UK","Marrowfield, UK","Marrowfield United; league title","Marrowfield United; Dev Okafor; transfer","DIFFERENT_EVENT","Same club, but the title win and a later transfer signing are separate events."
"P0933","SP202-A","SP202-B","SPORT_202","SPORT_202","Sports","medium","different_source","Nakamura Sets World Record in 50m Freestyle","Yui Nakamura broke the world record in the 50m freestyle, clocking 22.87 seconds at the world championships. It is her first world record. The previous mark had stood for four years.","World Mark Falls to Nakamura in 50m Freestyle","A time of 22.87 seconds in the 50m freestyle gave Yui Nakamura a new world record at the world championships, breaking a mark that had lasted four years. It is the first world record of her career.","2027-08-02","2027-08-02","Fukuoka, Japan","Fukuoka, Japan","Yui Nakamura; 50m freestyle; world record","Yui Nakamura; world record; world championships","SAME_EVENT","Same record-breaking swim on the same day, described with different sentence order."
